,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 1",6545,0,995006.25,993819.6929,995006.25,32526.48112,1057971974,995006.25,995006.25,995006.25,990259.2963,990259.2963,995006.25,1.082017375,990279.332,0.003950924
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 2",6545,990871.0465,995006.25,994910.2172,995006.2486,507.1393536,257190.324,995006.2366,995006.2495,995006.2499,994622.0675,994622.0728,995006.2493,0.08521607,994631.3902,0.100807485
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 3",6545,990856.2655,995006.25,994953.0716,995006.25,301.8057201,91086.69269,995006.25,995006.25,995006.25,994793.5037,994793.5037,995006.25,0.0472842,994798.3577,0.087635801
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 4",6545,0,995006.25,994839.0969,995006.25,12299.9881,151289707.1,995006.25,995006.25,995006.25,994337.5352,994337.5352,995006.25,0.153084706,994338.2037,0.000553043
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 5",6545,0,995006.25,993737.175,995006.25,34767.66645,1208790630,995006.25,995006.25,995006.25,989929.1744,989929.1744,995006.25,1.160281752,989940.7331,0.00397631
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 6",6545,0,995006.25,948292.4499,995006.25,210388.6543,44263385839,995006.25,995006.25,995006.25,808122.496,808122.496,995006.25,40.81250956,814753.9186,0.134352693
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 7",6545,0,995006.25,993356.2998,995006.2499,38864.92005,1510482010,995006.2499,995006.2499,995006.2499,988405.441,988405.441,995006.2499,1.504301873,988434.2241,0.005348831
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 8",6545,0,995006.25,993759.4053,995006.25,34767.90705,1208807360,995006.2499,995006.25,995006.25,990018.1093,990018.1114,995006.25,1.140758698,990026.8429,0.003843571
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 9",6545,0,995006.25,989643.7084,995006.25,72570.18651,5266431971,995006.25,995006.25,995006.25,973552.8058,973552.8058,995006.25,4.888529124,973648.4411,0.016201094
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 10",6545,0,995006.25,994678.9405,995006.25,17394.41062,302565520.8,995006.25,995006.25,995006.25,993696.8118,993696.8118,995006.25,0.299839024,993697.8672,0.001060868
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 11",6545,0,995006.25,967269.2613,995006.25,163601.1439,26765334298,995006.2473,995006.25,995006.25,884041.3411,884041.3455,995006.25,24.7164585,886397.0091,0.081489982
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 12",6545,0,995006.25,989181.5359,995006.25,75598.66864,5715158700,995006.2495,995006.25,995006.25,971703.8335,971703.8336,995006.25,5.307480357,971815.4601,0.017597578
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 13",6545,0,995006.25,991784.1508,995006.25,56273.76014,3166736080,995006.25,995006.25,995006.25,982115.8835,982115.8835,995006.25,2.943691628,982152.3918,0.009769609
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 14",6545,0,995006.25,979777.6617,995006.25,122053.378,14897027084,995006.2495,995006.25,995006.25,934082.5886,934082.5887,995006.25,13.74635989,934799.5722,0.045287695
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 15",6545,0,995006.25,988744.8018,995006.2441,78509.20112,6163694660,995006.2361,995006.25,995006.25,969956.6431,969956.6792,995006.2481,5.703236548,970083.8118,0.018841092
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 16",6545,0,995006.25,994204.9475,995006.25,27493.87504,755913164.5,995006.25,995006.25,995006.25,991800.5501,991800.5501,995006.25,0.733411417,991805.2253,0.00254055
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 17",6545,0,995006.25,992674.5965,995006.2499,47581.30685,2263980761,995006.244,995006.25,995006.25,985678.2124,985678.2183,995006.25,2.130983475,985702.0186,0.0071613
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 18",6545,991351.84,995006.25,994902.1632,995006.25,478.9492489,229392.383,995006.2498,995006.25,995006.25,994589.8392,994589.8395,995006.25,0.091561034,994602.5755,0.130480855
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 19",6545,0,995006.25,994796.6365,995006.25,12303.49639,151376023.4,995006.25,995006.25,995006.25,994167.668,994167.668,995006.25,0.190782163,994172.3973,0.000858466
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 20",6545,0,995006.25,994816.6963,995006.25,12301.66038,151330848.2,995006.2498,995006.25,995006.25,994247.9192,994247.9192,995006.25,0.173151379,994250.1449,0.000707341
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 21",6545,0,995006.25,993770.974,995006.25,34767.92885,1208808877,995006.25,995006.25,995006.25,990064.3908,990064.3908,995006.25,1.130516133,990071.9252,0.003774855
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 22",6545,0,995006.25,984648.8047,995006.25,100898.0229,10180411027,995006.25,995006.25,995006.25,953570.1378,953570.1378,995006.25,9.395921329,953905.3501,0.030961204
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 23",6545,0,995006.25,990258.9797,995006.25,68319.12778,4667503221,995006.2497,995006.25,995006.25,976014.267,976014.267,995006.25,4.330743258,976088.7877,0.014346457
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 24",6545,0,995006.25,979255.8476,995006.25,123834.3419,15334944229,995006.25,995006.25,995006.25,931995.0131,931995.0131,995006.25,14.20779292,932767.9492,0.046997574
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 25",6545,0,995006.25,994024.9182,995006.2497,30115.00079,906913272.9,995006.2497,995006.2498,995006.2499,991080.3234,991080.3235,995006.2497,0.896466891,991091.6785,0.003163786
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 26",6545,0,995006.25,994212.289,995006.2499,27493.40209,755887158.6,995006.2495,995006.25,995006.25,991829.9206,991829.9279,995006.2429,0.726693109,991834.5491,0.002494305
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 27",6545,0,995006.25,988889.9559,995006.25,77551.32235,6014207598,995006.25,995006.25,995006.25,970537.3348,970537.3348,995006.25,5.571708074,970659.327,0.018429039
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 28",6545,0,995006.25,988441.2004,995006.25,80388.95857,6462384660,995006.25,995006.25,995006.25,968742.0387,968742.0387,995006.25,5.978079926,968880.9229,0.019743995
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 29",6545,0,995006.25,991752.05,995006.25,56272.544,3166599208,995006.25,995006.25,995006.25,981987.4607,981987.4607,995006.25,2.97171785,982028.5892,0.009956953
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 30",6545,0,995006.25,994806.3358,995006.25,12302.82269,151359446.2,995006.25,995006.25,995006.25,994206.4712,994206.4712,995006.25,0.181773714,994211.5722,0.000779394
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 31",6545,0,995006.25,990389.9633,995006.2496,67212.33801,4517498380,995006.2293,995006.2497,995006.2499,976538.2879,976538.2947,995006.2498,4.21104046,976611.4389,0.014014746
