,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 21",5786,0,1324.606425,1311.791552,11:18.8,113.4987667,12881.97003,1324.520233,1324.569801,1324.581107,1273.470375,1273.498463,1324.551122,0.012992931,1274.209498,0.036566438
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 21",6137,0,1324.696082,1304.140887,28:58.3,139.9637072,19589.83935,1324.526343,1324.59271,1324.63073,1242.798149,1242.824365,1324.5613,0.019473203,1244.3971,0.060763904
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 21",6473,0,1324.730153,1315.604976,57:12.9,91.8210235,8431.100356,1324.583878,1324.648016,1324.668488,1288.504101,1288.519934,1324.632047,0.008246718,1288.918596,0.028169239
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 21",6957,0.355175805,1324.759151,1315.659884,02:23.5,66.34496672,4401.654608,1324.558522,1324.663454,1324.687562,1288.704366,1288.7254,1324.65375,0.007329452,1290.168051,0.049232537
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 22",5786,0,1324.60993,1309.040242,01:10.5,112.3308654,12618.22331,1324.493995,1324.564935,1324.578537,1262.483483,1262.495727,1324.546539,0.015234073,1264.975686,0.051319749
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 22",6137,0.456160656,1324.692559,1315.501801,16:52.5,93.02564505,8653.770636,1324.52718,1324.573978,1324.599054,1288.297356,1288.335221,1324.551917,0.008712976,1288.770392,0.027537809
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 22",6473,0,1324.732176,1308.989563,59:23.2,128.256482,16449.72516,1324.578174,1324.650111,1324.670596,1262.035169,1262.063551,1324.611418,0.014229569,1262.942677,0.042985492
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 22",6957,0,1324.762228,1312.686492,33:56.1,96.79003328,9368.310541,1324.609729,1324.677563,1324.696973,1276.747114,1276.760717,1324.661707,0.009923179,1278.173677,0.042399967
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 23",5786,0.088445179,1324.60967,1314.029632,00:36.6,92.72658223,8598.219052,1324.484389,1324.566188,1324.580558,1282.446484,1282.455165,1324.550749,0.010383013,1283.996766,0.034985572
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 23",6137,0,1324.693317,1310.172746,20:59.5,114.2698508,13057.59879,1324.529633,1324.577624,1324.604037,1266.96705,1267.010835,1324.55684,0.013797057,1267.843374,0.045762672
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 23",6473,1.570404602,1324.751735,1292.037578,05:12.2,173.8861892,30236.40678,1324.578276,1324.657634,1324.678651,1194.200333,1194.217978,1324.645217,0.029211382,1197.509545,0.098553281
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 23",6957,0,1324.74157,1318.031219,11:20.4,66.54907952,4428.779985,1324.574479,1324.662921,1324.684811,1298.17861,1298.193518,1324.652044,0.00543948,1299.112706,0.026949823
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 24",5786,0,1324.609695,1312.141339,14:08.1,101.00003,10201.00605,1324.52276,1324.571137,1324.582933,1274.865365,1274.897154,1324.553181,0.012538307,1275.874287,0.043001681
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 24",6137,0,1324.687306,1308.215731,14:46.4,131.7720303,17363.86798,1324.522544,1324.574217,1324.595826,1259.154568,1259.187208,1324.548056,0.015636004,1260.244471,0.044198428
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 24",6473,0,1324.749282,1307.876122,09:02.2,124.6075491,15527.04129,1324.590544,1324.659938,1324.681122,1257.553498,1257.571816,1324.639253,0.015100244,1259.011731,0.05128334
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 24",6957,0,1324.750852,1314.126801,33:17.4,76.06234109,5785.479732,1324.573856,1324.677748,1324.694756,1282.522558,1282.530275,1324.67142,0.008561931,1284.348404,0.051112755
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 25",5786,0.921007887,1324.611608,1308.042608,56:11.0,115.3668244,13309.50417,1317.297213,1324.567109,1324.58087,1259.393182,1259.40454,1324.552189,0.015883202,1262.100446,0.052888946
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 25",6137,0,1324.701471,1305.571959,22:04.7,143.4289326,20571.8587,1324.531212,1324.580425,1324.614555,1248.547209,1248.580722,1324.571909,0.018241419,1249.607287,0.050774476
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 25",6473,0,1324.729895,1317.230408,52:29.0,82.83396377,6861.465553,1324.568172,1324.649081,1324.671493,1295.013296,1295.04333,1324.616039,0.006747028,1295.397025,0.02316889
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 25",6957,0,1324.749042,1312.264533,29:36.9,102.5386095,10514.16643,1324.608094,1324.673457,1324.690725,1275.07166,1275.087316,1324.666963,0.010402798,1276.083602,0.041519359
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 26",5786,0,1324.605899,1307.59999,06:25.6,128.9391488,16625.30409,1324.511226,1324.56764,1324.579411,1256.708939,1256.731245,1324.550438,0.017082791,1258.188018,0.048977736
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 26",6137,0,1324.709583,1304.60703,25:16.8,143.8914832,20704.75893,1324.525766,1324.588849,1324.627768,1244.669959,1244.701763,1324.556559,0.019022113,1246.247186,0.054859155
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 26",6473,0,1324.73299,1319.026342,58:57.1,48.90717243,2391.911515,1324.576858,1324.651335,1324.672479,1302.188107,1302.219905,1324.621108,0.005053459,1302.67335,0.03728459
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 26",6957,0,1324.761225,1320.144238,09:57.7,24.01311876,576.6298725,1324.55768,1324.67084,1324.691828,1306.634793,1306.662686,1324.667481,0.003580094,1307.692672,0.089663735
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 27",5786,0,1324.610907,1315.686798,15:00.5,88.48927479,7830.351753,1324.527337,1324.57019,1324.582186,1289.050923,1289.082473,1324.549315,0.009034901,1289.553348,0.029088154
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 27",6137,0,1324.72139,1319.644655,21:40.9,59.38259959,3526.293134,1324.526981,1324.579275,1324.613461,1304.850949,1304.889247,1324.557685,0.004701622,1305.220077,0.019677905
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 27",6473,0,1324.742466,1309.047191,28:22.4,126.93159,16111.62853,1324.55522,1324.646259,1324.672254,1262.303388,1262.327983,1324.598208,0.014095622,1263.43376,0.043065162
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 27",6957,0,1324.752896,1306.814779,57:14.1,135.5560358,18375.43885,1324.561707,1324.658667,1324.681519,1253.331637,1253.342931,1324.627882,0.015033134,1254.52954,0.049611973
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 28",5786,0,1324.611895,1312.950535,12:52.4,93.82802361,8803.698014,1324.521295,1324.570688,1324.58267,1278.105433,1278.134348,1324.550971,0.011710153,1279.078917,0.043462095
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 28",6137,0,1324.691695,1319.458346,22:52.0,49.60940848,2461.09341,1324.526426,1324.58305,1324.618399,1304.098189,1304.132282,1324.574797,0.00482018,1304.670033,0.029634677
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 28",6473,0,1324.724115,1307.992357,43:05.1,119.9413156,14385.9192,1324.56573,1324.639059,1324.656233,1258.084479,1258.123853,1324.603721,0.014885876,1259.821663,0.053790828
