,AgeGap,AgeLimits,Algorithm Name,BestKnownFront,Crowding,Encoding.ProblemSize,EvaluatedSolutions,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,ProblemSize,ReferencePoint,Seed,SelectedParents,Spacing,TestFunction
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 1",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,8.64E-12,35,300033,01:26.1,6543,1,3,3,1.53E-07,995006.25,2.84E-11,,995006.25,[[0.250000000009775;0.250000000015023;0][0.25000000000974;0.250000000252481;0][0.250000000009747;0.250000000205903;0][...]],2.94E-11,16,35,[100;100;100],602324206,32,1.82E-11,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 2",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,7.50E-05,35,300033,01:16.3,6543,1,3,3,0.00013266,995006.25,1.76E-07,,995006.2499,[[0.250000013299251;0.250001219807456;0][0.250000144609079;0.250000000000114;0][0.250000023999704;0.250001120404162;0][...]],7.44E-08,16,35,[100;100;100],367543226,32,2.52E-05,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 3",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.000731111,35,300033,01:27.0,6543,1,3,3,2.45E-06,995006.25,2.81E-11,,995006.25,[[0.250000000487488;0.25;0][0.250000000344211;0.250000000001072;0][0.250000000375721;0.250000000000882;0][...]],1.64E-11,16,35,[100;100;100],1716146012,32,1.22E-07,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 4",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,7.60E-05,35,300033,01:52.6,6543,1,3,3,2.33E-10,995006.25,∞,,995006.25,[[0.25;0.25;0]],0,16,35,[100;100;100],255017465,32,3.14E-05,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 5",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.000113906,35,300033,02:46.9,6543,1,3,3,5.82E-10,995006.25,2.42E-12,,995006.25,[[0.250000000000329;0.25;0][0.250000000000004;0.250000000000087;0][0.250000000000141;0.25000000000005;0][...]],1.47E-12,16,35,[100;100;100],15060108,32,4.83E-08,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 6",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.002284561,35,300033,01:49.6,6543,1,3,3,1.97E-06,995006.25,1.21E-13,,995006.25,[[0.250000000198136;0.25;0][0.250000000197779;0.250000000000045;0][0.250000000197442;0.250000000000088;0][...]],5.51E-14,16,35,[100;100;100],1182030417,32,0.000956711,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 7",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.000511817,35,300033,02:31.8,6543,1,3,3,0.000122283,995006.25,6.99E-06,,995006.2499,[[0.250058635270734;0.250000000000024;0][0.250000012291633;0.250000000007763;0][0.250034498433177;0.250000000001824;0][...]],3.09E-06,16,35,[100;100;100],333850581,32,6.61E-05,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 8",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.001401399,35,300033,01:54.7,6543,1,3,3,0,995006.25,∞,,995006.25,[[0.250000000000509;0.250000000000004;0]],0,16,35,[100;100;100],624104356,32,4.05E-05,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 9",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.005228661,35,300033,01:29.0,6543,1,3,3,2.33E-10,995006.25,∞,,995006.25,[[0.25;0.25;0]],0,16,35,[100;100;100],1588150788,32,1.64E-06,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 10",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.002107279,35,300033,02:11.3,6543,1,3,3,1.91E-08,995006.25,1.65E-10,,995006.25,[[0.25;0.250000000001977;0][0.250000000926622;0.250000000001975;0][0.250000000633842;0.250000000001976;0][...]],3.77E-11,16,35,[100;100;100],1238401863,32,0.000943259,DTLZ8
