,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 1",5866,88.06859608,120.2879673,117.2022756,118.3326604,3.640272016,13.25158035,115.8310908,119.6974676,120.1544814,112.1082617,112.1082708,120.1541531,0.001798523,111.9281075,0.700069432
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 1",6260,87.39141556,120.5487309,118.6702573,119.5139097,2.955038392,8.732251899,118.4792173,120.1651969,120.3662679,115.4422627,115.4422791,120.3662616,0.001063004,115.3435868,0.422649344
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 1",6387,87.23318133,120.378378,118.8103185,119.8673338,3.057732641,9.349728902,119.0200666,120.2062067,120.2935224,115.4532227,115.4532318,120.2933654,0.001024822,115.5380632,0.381924978
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 1",6544,86.49071004,120.4108891,118.9979652,120.0373217,3.197842374,10.22619585,119.4320928,120.3187981,120.3728551,115.5770282,115.5770713,120.3727414,0.000995954,115.7397023,0.346207117
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 2",5866,84.50298164,120.2035757,117.1476023,118.6866337,3.817170392,14.5707898,115.3182174,119.6269474,119.9691919,111.5896886,111.5897119,119.9689575,0.001865279,111.6776715,0.684827881
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 2",6260,85.24903171,119.9886536,118.1981641,119.1810009,2.83818367,8.055286543,117.974218,119.7144473,119.8861458,115.1519928,115.1520143,119.8860869,0.001035904,114.9563034,0.435105504
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 2",6387,86.70047357,120.5754755,118.9838517,120.0795421,3.290697537,10.82869028,119.1537684,120.4219826,120.5289669,115.3326992,115.332726,120.5288098,0.001088777,115.5073869,0.372205237
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 2",6544,85.84527308,120.5546915,118.9162117,120.1584255,3.590177027,12.88937109,119.3102695,120.4334533,120.5093755,115.094481,115.0944843,120.5093432,0.001128234,115.225193,0.352483348
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 3",5866,90.88612079,120.2029138,117.3528637,119.1137783,3.767774938,14.19612798,115.8148955,119.8832683,120.0670072,111.8515316,111.8515383,120.0667094,0.001840573,111.9553837,0.684404792
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 3",6260,87.24248418,120.5132683,118.5942547,119.6263766,2.968100002,8.809617621,118.3265232,120.2833622,120.3732956,114.9534646,114.9534844,120.3731279,0.001168032,114.9388999,0.505811731
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 3",6387,86.52652848,120.3733729,118.7290746,119.8178198,3.048687535,9.294495686,118.7380625,120.0961994,120.2267789,115.3751579,115.3751605,120.2265671,0.001030965,115.437204,0.388814488
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 3",6544,85.51627536,120.5685544,118.993555,120.1295076,3.366143407,11.33092144,118.9019597,120.5214292,120.5511464,115.3082974,115.3082974,120.5511088,0.001082989,115.450557,0.369448941
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 4",5866,84.33222699,120.0865115,117.4233951,119.0411868,3.905738952,15.25479676,116.551131,119.7134884,120.0140016,112.3417985,112.3417985,120.0137646,0.001745994,112.3032691,0.573133417
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 4",6260,86.65457444,120.348097,118.4495291,119.689345,3.554777731,12.63644472,118.6688134,120.078586,120.2724646,114.4927225,114.4927386,120.2724184,0.00124805,114.5437566,0.402601937
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 4",6387,86.33196239,120.4921788,118.8292719,119.9420475,3.414687199,11.66008867,118.8351307,120.3072544,120.4434025,115.4429819,115.4430115,120.4432026,0.001085225,115.3641492,0.343414092
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 5",5866,85.70641973,120.4891345,117.8123469,118.6378291,3.699793308,13.68847052,117.3522069,120.0286688,120.2535286,113.4314709,113.4315487,120.2533315,0.001578409,113.1836627,0.521988619
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 4",6544,85.6657475,120.5459022,118.7556037,120.2962755,3.781223411,14.29765048,119.4018641,120.4834396,120.5219699,114.2185402,114.2185517,120.5219467,0.001284306,114.5539971,0.411759801
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 5",6260,88.43010747,120.3534085,118.6010852,119.5111608,3.227620507,10.41753414,118.402741,120.1124917,120.238003,115.1098688,115.1098749,120.2379942,0.001092524,115.1820315,0.374225837
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 5",6387,88.26341299,120.5354778,119.0202513,119.8272516,2.728857421,7.446662825,118.9766854,120.3320045,120.4028358,116.2338428,116.2338666,120.402723,0.000897673,116.153982,0.367921379
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 6",5866,89.49284921,120.0523484,116.4537346,118.0722362,4.221365764,17.81992891,114.6789504,119.3456375,119.7576324,110.0779991,110.0780048,119.7572352,0.002146453,110.159262,0.74150415
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 5",6544,85.54722724,120.4776047,119.1390746,120.1921255,3.014699761,9.088414648,119.5189916,120.4258528,120.4468539,115.8437326,115.8437715,120.4467557,0.000950347,116.0300156,0.354688944
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 6",6260,86.94342377,120.361543,118.00466,118.9220487,3.286984055,10.80426418,117.7685428,119.9432085,120.1282167,114.27889,114.2789067,120.1281619,0.001260358,114.0603693,0.480208129
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 6",6387,85.92979186,120.5166637,118.9348389,120.0103356,3.375386405,11.39323338,119.0840673,120.3439634,120.3927028,115.4616612,115.4618062,120.3924523,0.001059,115.5534526,0.334676579
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 7",5866,87.59359963,120.4382887,117.2778614,118.6274124,3.780317678,14.29080174,115.8559489,120.2187928,120.3856869,112.0721438,112.0721605,120.3854045,0.001917215,111.6556288,0.737669584
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 7",6260,86.43852797,120.3719157,118.6768318,119.7010611,2.999334193,8.9960056,118.3248432,120.228405,120.3341778,115.2538305,115.2538475,120.3341379,0.001094061,115.252967,0.434580638
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 7",6387,86.03035783,120.2761282,118.5638185,119.8016114,3.599579295,12.9569711,118.7357899,120.1306879,120.2029784,114.7324782,114.7325075,120.2028725,0.001163384,114.8491318,0.355159659
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 6",6544,87.89502564,120.5730881,118.8779759,120.2200646,3.593123344,12.91053536,119.2268312,120.4876942,120.542992,114.8076538,114.8076705,120.5429419,0.001177228,115.0266747,0.383132111
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 8",5866,87.04019815,119.6767069,116.4336104,118.2068779,3.503117346,12.27183114,114.6008435,118.6756569,119.2747124,111.6355515,111.6355603,119.2742909,0.001753078,111.2927097,0.718240537
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 8",6260,88.35408846,120.1870144,118.4744169,119.2070533,2.977096026,8.863100745,118.3002031,120.094313,120.1408741,115.1646889,115.1648801,120.1408688,0.001088432,115.0681703,0.436569473
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 8",6387,84.86157746,120.5101404,118.579208,119.7527715,3.528114227,12.44759,118.7415384,120.1902878,120.3610119,114.7669575,114.7669613,120.3609003,0.001188983,114.7827839,0.386141884
