,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 1",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:37.6,5864,3,3,1.961582868,0.388986468,3.753048526,115.5569923,[[0.280775318816276;1.02444751502529][0.999999940680102;0.18425899016071][0.698776214665133;0.650973332433086][...]],0.131896389,16,914549698,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 1",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:40.0,6258,3,3,2.337792176,0.440413589,2.812388575,115.180783,[[0.280775318815369;1.06955861431942][0.997784576999007;0.219449315362762][0.382509503472367;1.00133871106195][...]],0.029652383,16,1391030025,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 1",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:40.6,6385,3,3,1.205569225,0.221164873,4.032136962,116.313006,[[0.280775318815369;0.986014157318521][0.999999919157964;0.112014788667379][0.822772877073868;0.421134645143399][...]],0.0252147,16,53152514,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 1",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:40.7,6542,3,3,0.992573408,0.20003959,2.334409769,116.5260018,[[0.999999999976303;0.0918985644415424][0.280775318815369;0.971710189816204][0.708942436992675;0.565736709091798][...]],0.026291006,16,1043409340,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 2",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:38.0,5864,3,3,0.660852434,0.405246504,3.58291869,116.8577228,[[1;0.0599563756293457][0.280775318929346;0.960836968775332][0.398073208992;0.883704273979729][0.873922294655043;0.299344277361058][...]],0.05847426,16,1440149114,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 2",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:40.8,6258,3,3,0.541261925,0.603476699,1.388104669,116.9773133,[[0.28077531881537;0.948045226185911][0.99999984954757;0.0493109497283166][0.890688712917461;0.245700111109851][...]],0.04980688,16,1536487301,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 2",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:41.5,6385,3,3,2.082534669,0.273693466,2.981086192,115.4360405,[[0.280775318815369;1.03104853591617][0.999999999998064;0.19563078717093][0.85707378437045;0.436799433922837][...]],0.052115634,16,2036057754,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 2",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:42.0,6542,3,3,0.655655161,0.336939117,2.080129459,116.86292,[[0.999941528368216;0.0600712994139815][0.280775318815369;0.956490850066726][0.826816235738181;0.371144874723998][...]],0.107480996,16,1085197033,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 3",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:38.8,5864,3,3,1.009457691,0.50950564,2.579709123,116.5091175,[[0.999999841030319;0.0933649404809636][0.28077531881664;0.972528798293227][0.372691100080403;0.915235645180363][...]],0.07251707,16,1822272652,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 3",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:41.6,6258,3,3,4.480543085,0.421511836,3.109840869,113.0380321,[[1;0.423113074168272][0.28077531881537;1.1697881377695][0.422139339734467;1.08921512702423][0.729505434816539;0.802319278446663][...]],0.037149573,16,1899307619,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 3",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:42.3,6385,3,3,2.208280363,0.305464502,2.473106821,115.3102948,[[0.999984517788064;0.207665669282379][0.280775318815369;1.03822286051403][0.841097120145663;0.471622030573387][...]],0.105679458,16,1183518469,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 3",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:42.9,6542,3,3,2.113920444,0.263916347,2.643421754,115.4046548,[[0.280775318815369;1.03278638667279][1;0.198535798460614][0.445601889961162;0.92435666438688][0.807850676284886;0.513137036810768][...]],0.036965717,16,1368412619,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 4",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:39.1,5864,3,3,2.021306363,0.409896278,3.442619237,115.4972688,[[0.999999999023927;0.189901060128112][0.280775318815371;1.02788186719516][0.350929565108935;0.98741417546829][...]],0.039019329,16,1042285517,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 4",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:41.4,6258,3,3,0.252542798,0.353630315,3.643218166,117.2660324,[[0.280775318815369;0.932559687799191][0.999940861110701;0.0218264953863985][0.568448784129346;0.690815657096745][...]],0.033228282,16,196957504,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 4",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:42.6,6385,3,3,1.622078094,0.299718909,3.049013816,115.8964971,[[0.280775318815369;1.00907613863105][1;0.151890644943645][0.383453947318654;0.943134363822279][0.838723893484793;0.427146389887709][...]],0.032991671,16,1411063855,32
