,AgeGap,AgeLimits,Algorithm Name,BestKnownFront,Bounds,Crowding,Encoding.Bounds,Encoding.ProblemSize,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,ProblemSize,Seed,SelectedParents,Spacing,TestFunction
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 51",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.23974602,[[0;1]],50,300042,00:57.3,7987,8,8,0.23425523,120.6666667,0.294320777,0.895100431,120.4324114,[[1;0.00639246282874947][0;1.0127445763118][0.0879549173933792;0.717461195569123][0.357949723517118;0.562688418348894][...]],0.143194729,6,50,1176270894,12,0.126841207,ZDT1
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 51",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.199491177,[[0;1]],50,300042,01:01.0,7987,8,8,0.3022502,120.3333333,0.254501286,0.78536175,120.0310831,[[0;1.0084637884114][1;0.0168565423294496][0.430918615715699;0.920013603995815][0.916154963956814;0.228670087731359][...]],0.202358595,6,50,440877618,12,0.096105278,ZDT2
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 51",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.371357318,[[0;1]],30,300042,01:01.1,7987,8,8,1.159709913,117.5185752,0.38032705,3.191241387,116.3588653,[[0.280775318815369;0.978742350280206][1;0.104413833664827][0.856212943502471;0.357742712451567][0.721432330124345;0.559567219410911][...]],0.085737148,6,30,113429703,12,0.086775821,ZDT6
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 51",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.042921073,[[0;1][-5;5]],30,300042,01:01.3,7987,8,8,5.158733385,120.6666667,0.061636345,0.412043392,115.5079333,[[0;1][1;0.479064038115177][0.518685354147952;0.624822891618734][0.281619931564108;0.723550356947662][...]],0.053382443,6,30,854654798,12,0.053294143,ZDT4
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 51",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.231232192,[[0;1]],50,300042,01:01.8,7987,8,8,0.338884823,128.7781161,0.276665831,0.545821491,128.4392313,[[0;1.01108134830984][0.852428309125503;-0.767287117210565][0.426221167619619;0.249313642592113][0.642604989540327;-0.199737838042069][...]],0.09827692,6,50,627460306,12,0.086701436,ZDT3
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 52",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.21516276,[[0;1]],50,300042,01:01.4,7987,8,8,0.279706202,120.6666667,0.230607226,0.795549319,120.3869605,[[1;0.0133583378044791][0;1.02654284439492][0.839591198695841;0.172904372373195][0.488852385482386;0.337579903115187][...]],0.145613909,6,50,619550000,12,0.144953761,ZDT1
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 52",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.276724399,[[0;1]],50,300042,01:04.6,7987,8,8,0.306264648,120.3333333,0.255505593,0.962885858,120.0270687,[[1;0.0174417307349846][0;1.00875889139088][0.648550086984121;0.638238132690777][0.32769991365547;0.940549076950905][...]],0.05044329,6,50,790042524,12,0.053516509,ZDT2
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 52",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.369764394,[[0;1]],30,300042,01:05.2,7987,8,8,0.101763484,117.5185752,0.43460004,3.084950286,117.4168117,[[1;0.00178224462848737][0.280775318815369;0.922126959837769][0.613514814658831;0.642884568656016][0.925255064224283;0.173976851528922][...]],0.083140057,6,30,657171009,12,0.084370378,ZDT6
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 52",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.045887848,[[0;1][-5;5]],30,300042,01:05.8,7987,8,8,5.930769525,120.6666667,0.06327324,0.389976203,114.7358971,[[0;1][1;0.551184857769975][0.12271834509992;0.842774890168704][0.837985876621107;0.589147475478778][0.492130971552923;0.685147154890283][...]],0.041754829,6,30,700280034,12,0.040412605,ZDT4
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 52",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.297648397,[[0;1]],50,300042,01:06.5,7987,8,8,0.197612582,128.7781161,0.31058002,0.904196809,128.5805035,[[0.852034657812599;-0.763971755747127][0;1.01943460615493][0.646294044341093;-0.405543986235685][0.440553430869587;-0.0386230334696335][...]],0.136532609,6,50,1270565652,12,0.135841515,ZDT3
