,Absolute Distance to BestKnownHypervolume,AgeGap,AgeInheritance,AgeLimits,AgingScheme,Algorithm Name,Algorithm Type,Analyzer.1,Analyzer.10,Analyzer.2,Analyzer.2.Dampening,Analyzer.4,Analyzer.5,Analyzer.6,Analyzer.7,Analyzer.8,Analyzer.9,Best known hypervolume,Crowding,DominateOnEqualQualities,EvaluatedSolutions,Execution Time,Generational Distance,Generations,Hypervolume,HypervolumeValues,LayerAnalyzer,LayerAnalyzer.1,LayerAnalyzer.8,LayerAnalyzer.UpdateInterval,LayerResults,MatingPoolRange,MaximumGenerations,NonDominatedElites,NumberOfLayers,OpenLayers,Pareto Archive,Pareto Front,ParetoFrontAnalyzer,ParetoFrontAnalyzer.0,ParetoFrontAnalyzer.1,ParetoFrontAnalyzer.10,ParetoFrontAnalyzer.2,ParetoFrontAnalyzer.2.HistogramName,ParetoFrontAnalyzer.2.MaximumIterations,ParetoFrontAnalyzer.2.StoreHistory,ParetoFrontAnalyzer.4,ParetoFrontAnalyzer.5,ParetoFrontAnalyzer.5.Dampening,ParetoFrontAnalyzer.7,ParetoFrontAnalyzer.8,ParetoFrontAnalyzer.9,ParetoFrontAnalyzer.UpdateInterval,ParetoFrontResults,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Age Distribution,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Archive,ParetoFrontResults.Pareto Front,ParetoFrontResults.ParetoFrontAges,ParetoFrontResults.ParetoFrontHypervolumeValues,ParetoFrontResults.Scatterplot,ParetoFrontResults.Spacing,PopulationSize,ReduceToPopulationSize,Seed,SelectedParents,SelectedParentsFactor,Selector.NumberOfSelectedSubScopes,Spacing,Terminator,Terminator.1,Terminator.1.Comparison,Terminator.1.ComparisonValue,Terminator.1.Threshold,Terminator.1.Type,TopLayerPopulationSize,TopLayerSelector,TopLayerSelector.CopySelected,TopLayerSelector.GroupSize,TopLayerSelector.NumberOfSelectedSubScopes
NSGA-II Run 1,2.377306046,,,,,NSGA-II,NSGA2,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,1330.7139,0.531504906,TRUE,300050,13:41.0,2.764440829,6000,1328.336594,HypervolumeValues,,,,,,,6000,,,,ItemArray<IScope>,[[0;4.24196287382222;0][4.24196286760728;0;0][0;0;4.24196286707633][0.0377758602442219;4.07137695848137;0.132810058158182][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,1410440672,100,,,0.151928092,,,,,,,,,,,
NSGA-II Run 2,1.109791959,,,,,NSGA-II,NSGA2,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,1330.985507,0.440536412,TRUE,300050,12:03.9,2.242490841,6000,1329.875715,HypervolumeValues,,,,,,,6000,,,,ItemArray<IScope>,[[0;0;3.51545797804579][3.51670114948482;0;0][0;3.51561558912216;0][0.55055719991954;0.340220179770696;2.62504277678396][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,815742015,100,,,0.137883077,,,,,,,,,,,
NSGA-II Run 3,0.716149675,,,,,NSGA-II,NSGA2,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,1330.995669,0.311974479,TRUE,300050,12:02.4,1.444606136,6000,1330.279519,HypervolumeValues,,,,,,,6000,,,,ItemArray<IScope>,[[2.4990290688833;0;0][0;2.49902906661418;0][0;0;2.49902904396261][0.0679208539819229;0;2.43110819515681][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,2076988374,100,,,0.069218384,,,,,,,,,,,
NSGA-II Run 4,1.66657519,,,,,NSGA-II,NSGA2,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,1330.589774,0.685028825,TRUE,300050,13:15.0,3.770384436,6000,1328.923199,HypervolumeValues,,,,,,,6000,,,,ItemArray<IScope>,[[0;5.25177139334955;0.246762040141394][0;5.49852738439461;0][0;0;5.4985297828437][5.49852713523321;0;0][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,1240417804,100,,,0.236218597,,,,,,,,,,,
NSGA-II Run 5,3.896605469,,,,,NSGA-II,NSGA2,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,1330.945912,0.690372705,TRUE,300050,11:41.3,3.77545631,6000,1327.049306,HypervolumeValues,,,,,,,6000,,,,ItemArray<IScope>,[[0;5.68763982503838;0][0;0;5.68763990597293][5.36300969203679;0;0][2.16526690079141;1.46476806729607;2.05760530553695][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,1166997578,100,,,0.155995883,,,,,,,,,,,
NSGA-II Run 6,26.31334319,,,,,NSGA-II,NSGA2,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,1330.381387,1.145590184,TRUE,300050,12:15.9,6.505174843,6000,1304.068044,HypervolumeValues,,,,,,,6000,,,,ItemArray<IScope>,[[0;0;9.16652987752001][0;9.16653778757307;0][9.16654109580178;0;0][6.15739659810001;2.54718051089961;0.461963106749158][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,1055873226,100,,,0.291639419,,,,,,,,,,,
NSGA-II Run 7,1.520617434,,,,,NSGA-II,NSGA2,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,1330.996325,0.377985282,TRUE,300050,10:56.2,1.846419075,6000,1329.475708,HypervolumeValues,,,,,,,6000,,,,ItemArray<IScope>,[[0;3.0116633617321;0][3.01166527737716;0;0][0;0;3.01165788952949][2.64169706454295;0.232853256109606;0.137114957722209][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,252500128,100,,,0.122189107,,,,,,,,,,,
NSGA-II Run 8,0.267656104,,,,,NSGA-II,NSGA2,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,1330.986247,0.313495063,TRUE,300050,15:23.7,1.493196212,6000,1330.718591,HypervolumeValues,,,,,,,6000,,,,ItemArray<IScope>,[[0;2.5123845561379;0][2.51238780112352;0;0][0;0;2.51237895737343][2.20987506840066;0.0331619472063391;0.274175446483085][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,1372828766,100,,,0.088971988,,,,,,,,,,,
NSGA-II Run 9,1.131497638,,,,,NSGA-II,NSGA2,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,1330.776147,0.493602289,TRUE,300050,10:33.5,2.559352234,6000,1329.644649,HypervolumeValues,,,,,,,6000,,,,ItemArray<IScope>,[[4.01943219188389;0;0][0;4.01943216255997;0][0;0;4.01941719964444][0.171280083148343;0.129634362968937;3.71853078564245][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,1183947055,100,,,0.137730578,,,,,,,,,,,
NSGA-II Run 10,0.983319735,,,,,NSGA-II,NSGA2,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,1330.982261,0.386612205,TRUE,300050,29:52.1,1.878292803,6000,1329.998941,HypervolumeValues,,,,,,,6000,,,,ItemArray<IScope>,[[0;0;3.07343770130305][3.07426855096892;0;0][0;3.07444423323889;0][0.277622391293133;2.6417593251794;0.155370626943906][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,335675094,100,,,0.129143194,,,,,,,,,,,
