, DTLZ1, DTLZ2, DTLZ3, DTLZ4, DTLZ5, DTLZ6, DTLZ7
Count, 50, 50, 50, 50, 50, 50, 50
Minimum, 0.35686409025078547, 0.013170117026865168, 0.0093706251235300183, 0.039596866904195449, 0.0029816344798961952, 0.001135460664664973, 0.026809297842891128
Maximum, 14.35249284515503, 0.35449900967332293, 50.5782680699503, 1.321225119998835, 0.0092766031278778763, 0.0021288320477819683, 0.057175897805269355
Median, 2.7623126702978396, 0.13741462241699254, 3.6642071737998556, 0.38709773396175584, 0.0049394124853907847, 0.001522188405844341, 0.039046521284402579
Average, 3.6307831130856862, 0.15884920743006203, 8.0121039436217512, 0.39464901383238854, 0.00521793631520598, 0.0015738064698089906, 0.040164555354245672
Standard Deviation, 2.7109320125185423, 0.095113047851012988, 10.602496459497239, 0.23599441607234345, 0.0014996972430724213, 0.00022035694158661388, 0.0076514832248834276
Variance, 7.3491523764978339, 0.0090464918715090856, 112.4129311736515, 0.055693364417326356, 2.2490918208790213E-06, 4.8557181705406362E-08, 5.85451955406725E-05
25th Percentile, 1.8464190748296556, 0.088499453641062681, 1.1623673214363415, 0.22176466045696, 0.0040953099705408535, 0.0014416467321570242, 0.034400101215559753
75th Percentile, 4.4584873931140594, 0.23341159155583069, 11.512321556699446, 0.47301079113252015, 0.0060051664839302424, 0.0017378375231025176, 0.046366724733327459
Interquartile Range, 2.612068318284404, 0.144912137914768, 10.349954235263104, 0.25124613067556012, 0.0019098565133893889, 0.00029619079094549334, 0.011966623517767706
