, Count, Minimum, Maximum, Average, Median, Standard Deviation, Variance, 25th Percentile, 75th Percentile, Avg. of Upper 25 %,  Avg. of Lower 25 %, Avg. of First 25 %, Avg. of Last 25 %, Slope, Intercept, Average Relative Error
NSGA-II Run 1, 6001, 0, 1330.9234177752762, 1300.8664379391878, 1317.8497978376815, 55.4920657206803, 3079.3693579483015, 1308.1066570209191, 1323.5978312617544, 1326.5685701567081, 1242.1357113325021, 1243.7065084259466, 1325.4666837176794, 0.01744699089295371, 1248.5254652603267, 0.29670007538012222
NSGA-II Run 2, 6001, 0, 1330.9992975014084, 1308.8013314316077, 1320.8330088714035, 42.091937250999486, 1771.7311815420783, 1314.4726919110692, 1326.477693490232, 1328.6485866678297, 1264.8516887904098, 1266.7220946751356, 1328.0440369712387, 0.013608172756723174, 1267.976813161438, 0.31371852995168448
NSGA-II Run 1, 6001, 0, 1330.7138997650709, 1185.5324506445832, 1310.0657351842819, 342.49058167622258, 117299.79853691727, 1275.5806214899349, 1321.6930858491955, 1325.4765536746393, 802.08294063169421, 807.49401317656691, 1322.8964520818483, 0.11485223635262098, 840.97574158672023, 0.33753593639749035
NSGA-II Run 2, 6001, 0, 1330.9855070522387, 1070.9692906710823, 1318.9240983433597, 504.50296341709645, 254523.24009663216, 1280.0649976381656, 1329.1017897236088, 1329.9525943248027, 323.48836313448589, 327.530197537624, 1329.6828398742514, 0.20461606472110072, 457.12109650778007, 0.49373098643962154
NSGA-II Run 3, 6001, 0, 1330.9956691661207, 1040.097364146297, 1329.0123772546431, 459.09525505153783, 210768.4532108366, 722.60194287487138, 1330.1660587616002, 1330.491062035466, 323.6602544091964, 334.47227635964691, 1330.2489818888655, 0.21437247129748271, 396.97995025384887, 0.65444144151178185
NSGA-II Run 1, 6001, 1292.3547485376296, 1330.996014928556, 1330.7308787850682, 1330.7628080354516, 0.57245748416133491, 0.32770757117232496, 1330.6899057537134, 1330.8301640932398, 1330.8836294926916, 1330.5151082103212, 1330.6267515550694, 1330.7839952967397, 3.6087762091543018E-05, 1330.6226154987935, 0.011928114478714447
NSGA-II Run 1, 6001, 1167.6550105932934, 1324.7979020692042, 1324.3381305973453, 1324.6859499222153, 2.516481249329507, 6.3326778782269972, 1324.3202734742333, 1324.7457697639659, 1324.7719410614429, 1323.3019935608797, 1323.3028432808292, 1324.7716532485633, 0.00032841024061545959, 1323.3528998754989, 0.051119236214392738
NSGA-II Run 1, 6001, 1223.0674854437325, 1331, 1330.7973541825768, 1330.8445111621788, 1.9699705927159121, 3.8807841361654822, 1330.7867602142469, 1330.9017800467564, 1330.9443657583415, 1330.5554723783121, 1330.6327945202813, 1330.857361556001, 5.3574445802285284E-05, 1330.63663084517, 0.0022199043378883232
NSGA-II Run 2, 6001, 1201.4911930611079, 1324.7693215118679, 1324.2980282912076, 1324.5982912908703, 2.0238193074331994, 4.0958445891393946, 1324.287435265052, 1324.703280197476, 1324.7285499211932, 1323.3168877635035, 1323.3182945899916, 1324.7272128852642, 0.00031196289080267603, 1323.3621396187996, 0.071318265828203
NSGA-II Run 1, 6001, 0, 1324.8272896148644, 1306.0932624305829, 1324.8156344674314, 136.57201200058296, 18651.914461887372, 1324.8061482450082, 1324.8192535165515, 1324.821498300347, 1249.909020412897, 1249.9106187434909, 1324.8165857590207, 0.017954435760817768, 1252.2299551481296, 0.051875044184759522
NSGA-II Run 1, 6001, 0, 995006.24999989546, 994653.36259334162, 995006.24999989546, 18164.226554832858, 329939126.33529514, 995006.24999989546, 995006.24999989546, 995006.2499999156, 993594.46511509549, 993594.46511509549, 995006.2499999156, 0.35252499087014705, 993595.78762073116, 0.0011305359363391609
NSGA-II Run 4, 6001, 0, 1330.5897744119541, 492.15172922496237, 538.595360271398, 521.87922577443885, 272357.92629492778, 0, 819.24544088534856, 1232.0911689860864, 0, 0, 1218.9293431909894, 0.27872466072547747, -344.02225295147008, 0.856148586400044
NSGA-II Run 2, 6001, 0, 1324.82881291051, 1282.3670280793449, 1324.8143772516205, 216.44191937658587, 46847.1044634205, 1317.3311116951002, 1324.8182525864233, 1324.8207133983385, 1155.1305179902026, 1155.1330742137877, 1324.8156826712027, 0.040501370181029679, 1160.8629175362557, 0.10509814493100034
