, DTLZ1, DTLZ2, DTLZ3, DTLZ4, DTLZ5, DTLZ6, DTLZ7, DTLZ8
Count, 50, 50, 50, 50, 50, 50, 50, 50
Minimum, 477.88267659367472, 1330.0935915477676, 1321.0493751947956, 1330.6977000654992, 1324.6885588670482, 1324.8046076994951, 997.13991166620917, 995006.24578579678
Maximum, 1330.9376630413456, 1330.9152551908996, 1330.917813861224, 1330.9999953322431, 1324.7932172809521, 1324.8250167890249, 1003.3874010095567, 995006.25
Median, 1328.6268568000978, 1330.7811445577508, 1330.3857912946687, 1330.8697586535764, 1324.7549410727888, 1324.8164382131786, 1001.7126210968522, 995006.25
Average, 1298.9654210654296, 1330.7525547066989, 1329.6930385169087, 1330.8716988575848, 1324.7551025933997, 1324.8157256154884, 1001.4489254064029, 995006.24977014924
Standard Deviation, 129.51789306159586, 0.1422035706799587, 1.8750604466800944, 0.067616481841684548, 0.020523940888774607, 0.004227245592030332, 1.2827870886293828, 0.00068739601113535387
Variance, 16774.88462311498, 0.02022185551413001, 3.5158516787041556, 0.0045719886166468559, 0.00042123214960591425, 1.7869605295339873E-05, 1.6455427147542483, 4.725132761247956E-07
25th Percentile, 1323.9624352446472, 1330.7112250054347, 1329.3951921001571, 1330.8285209928069, 1324.742200804631, 1324.8128876121673, 1000.8970775643801, 995006.2499989901
75th Percentile, 1330.1765577106169, 1330.8327379923599, 1330.7858643193965, 1330.9256328711285, 1324.772437975018, 1324.8187875591814, 1002.3741046448256, 995006.25
Interquartile Range, 6.2141224659696945, 0.12151298692515411, 1.3906722192393772, 0.0971118783215843, 0.030237170386953949, 0.0058999470140861376, 1.4770270804455095, 1.0099029168486595E-06
