, Absolute Distance to BestKnownHypervolume, Best known hypervolume, BestKnownFront, Crowding, Encoding.ProblemSize, Execution Time, Generational Distance, Hypervolume, Pareto Front, ProblemSize, ReferencePoint, Seed, Spacing, TestFunction
NSGA-II Run 1, 1.5615128684421506, 1330.9567049685993, [[1;0;0][0.0157073173118198;0;0.999876632481661][0.000246719817134193;0.0157053795390632;0.999876632481661][...]], 14.087700820239426, 15, 00:10:57.9387853, 20.467381925284069, 1329.3951921001571, [[1;0;0][3.74915180455534E-33;1.83663898194442E-16;2.99955814570405][6.12303176911189E-17;2.9995549277029;0][...]], 15, [11;11;11], 401041098, 62.133058653843065, DTLZ3
NSGA-II Run 2, 2.0033111252873823, 1330.9992975014084, [[1;0;0][0.0157073173118198;0;0.999876632481661][0.000246719817134193;0.0157053795390632;0.999876632481661][...]], 12.738267483293429, 15, 00:06:18.4635986, 15.696789552085312, 1328.995986376121, [[1;0;0][3.74915180455534E-33;1.87380857664998E-16;3.06026270531954][6.12303176911189E-17;0;439.57218067376][...]], 15, [11;11;11], 1873586361, 42.33544795526953, DTLZ3
NSGA-II Run 1, 2.377306045603973, 1330.7138997650709, [[0;0;0.5][0;0.005;0.495][5E-05;0.00495;0.495][0.0001;0.0049;0.495][0.00015;0.00485;0.495][0.0002;0.0048;0.495][...]], 0.53150490564739172, 20, 00:13:41.0025955, 2.7644408290296751, 1328.3365937194669, [[0;4.24196287382222;0][4.24196286760728;0;0][0;0;4.24196286707633][0.0377758602442219;4.07137695848137;0.132810058158182][...]], 20, [11;11;11], 1410440672, 0.15192809221668596, DTLZ1
NSGA-II Run 2, 1.1097919593992174, 1330.9855070522387, [[0;0;0.5][0;0.005;0.495][5E-05;0.00495;0.495][0.0001;0.0049;0.495][0.00015;0.00485;0.495][0.0002;0.0048;0.495][...]], 0.44053641150196421, 20, 00:12:03.8933681, 2.2424908413525273, 1329.8757150928395, [[0;0;3.51545797804579][3.51670114948482;0;0][0;3.51561558912216;0][0.55055719991954;0.340220179770696;2.62504277678396][...]], 20, [11;11;11], 815742015, 0.13788307650736828, DTLZ1
NSGA-II Run 3, 0.71614967522646111, 1330.9956691661207, [[0;0;0.5][0;0.005;0.495][5E-05;0.00495;0.495][0.0001;0.0049;0.495][0.00015;0.00485;0.495][0.0002;0.0048;0.495][...]], 0.31197447922270216, 20, 00:12:02.3705007, 1.444606136066277, 1330.2795194908942, [[2.4990290688833;0;0][0;2.49902906661418;0][0;0;2.49902904396261][0.0679208539819229;0;2.43110819515681][...]], 20, [11;11;11], 2076988374, 0.069218384232723584, DTLZ1
NSGA-II Run 1, 0.28655953597149164, 1330.996014928556, [[1;0;0][0.999877;0.0157074;0][0.999507;0.0314108;0][0.99889;0.0471066;0][0.998027;0.0627907;0][0.996917;0.0784593;0][...]], 0.13032911218692475, 70, 00:16:06.9085247, 0.033062139935615562, 1330.7094553925845, [[1;0;0][6.12303176911189E-17;0;1.05485641902148][3.74915180455534E-33;6.34080972409163E-17;1.03556701372649][...]], 70, [11;11;11], 1458807156, 0.061283345303616107, DTLZ2
NSGA-II Run 1, 0.0046847882520069106, 1324.7979020692042, [[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]], 0.10533124855703332, 70, 00:01:27.0216759, 0.0029934414608548377, 1324.7932172809521, [[0.70740610386155;0.709603251515242;0][4.34493485646641E-17;4.33147143542869E-17;1.00197963083535][4.33147107742497E-17;4.34493186308886E-17;1.00197924333566][...]], 70, [11;11;11], 1551682412, 0.012330954679588632, DTLZ5
NSGA-II Run 1, 0.041686343537548964, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.17378734267016957, 70, 00:09:24.8954380, 0.11515630390596593, 1330.9583136564625, [[1;0;0][3.74915180455534E-33;6.19032543499322E-17;1.01099025260996][6.09692162129117E-17;1.24894829973528E-17;2.21108287587715][...]], 70, [11;11;11], 1299537626, 0.063457492934000964, DTLZ4
NSGA-II Run 2, 0, 1324.7693215118679, [[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]], 0.10264479378367028, 70, 00:02:57.8532628, 0.0045106196611726821, 1324.7693215118679, [[4.33326204718662E-17;4.35994345546506E-17;1.00392317822794][4.36139232153381E-17;4.33343444099158E-17;1.00411086865801][...]], 70, [11;11;11], 604458096, 0.013608638505075864, DTLZ5
NSGA-II Run 1, 0.010018663988148546, 1324.8272896148644, [[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]], 0.098100676528011424, 40, 00:02:13.2804562, 0.0017124112975446793, 1324.8172709508763, [[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.648135271857367;0.648135271857367;0.399801624244766][...]], 40, [11;11;11], 1103642534, 0.016402126556913272, DTLZ6
