,Absolute Distance to BestKnownHypervolume,Best known hypervolume,BestKnownFront,Bounds,Crowding,Encoding.Bounds,Encoding.ProblemSize,Execution Time,Generational Distance,Hypervolume,Pareto Front,ProblemSize,Seed,Spacing,TestFunction
NSGA-II Run 56,2.005299297,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.07695281,[[0;1][-5;5]],30,02:45.9,0.091104161,118.6613674,[[0;1][1;0.186315299852528][0.208964942542821;0.62805031620996][0.160470026352863;0.674051921179758][0.129127900759761;0.707615723636473][...]],30,193942263,0.018282349,ZDT4
NSGA-II Run 57,3.940275486,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.072777174,[[0;1][-5;5]],30,00:24.5,0.142128721,116.7263912,[[0;1][1;0.368219546882643][0.830802880761307;0.42414234209809][0.898927051900768;0.400997805134367][0.931072066634781;0.390381962042878][...]],30,1731700340,0.018188088,ZDT4
NSGA-II Run 52,0.149590078,117.5185752,[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.113199259,[[0;1]],30,00:24.7,0.005788033,117.3689851,[[0.280775318835783;0.928170908909494][1;0.0129522745584578][0.469484413349368;0.787504429014381][0.494744097864997;0.763305427287763][...]],30,1973098291,0.011667242,ZDT6
NSGA-II Run 56,0.02647975,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.139322681,[[0;1]],50,00:25.0,0.000555276,120.3068536,[[1;0.00073381840064059][0;1.00036697395928][0.233476923186076;0.945875504131754][0.154559931620421;0.976486964729697][...]],50,1070907638,0.016464247,ZDT2
NSGA-II Run 57,0.014317009,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.174190268,[[0;1]],50,00:25.2,0.001593861,128.7637991,[[0;1][0.851833968821626;-0.773369011813319][0.257753208587622;0.242161096537761][0.823351957264562;-0.458675332809338][...]],50,1481711015,0.034328601,ZDT3
NSGA-II Run 57,0.020405755,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.140382862,[[0;1]],50,00:31.6,0.000469071,120.6462609,[[1;4.42451129939513E-05][0;1.00008849186168][0.808671125573165;0.100787270414644][0.926698830695239;0.0373939206573037][...]],50,1643122796,0.023163681,ZDT1
NSGA-II Run 58,2.65690342,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.076314349,[[0;1][-5;5]],30,00:24.2,0.118234586,118.0097632,[[0;1][1;0.247700788573528][0.512579671364645;0.461393871204081][0.714813516403378;0.363956256942292][...]],30,652609099,0.017179151,ZDT4
NSGA-II Run 53,0.149859122,117.5185752,[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.113053904,[[0;1]],30,00:24.4,0.005838291,117.3687161,[[0.999998764293301;0.0130323054922638][0.280775318864323;0.928227302526731][0.833066281788018;0.317051318280217][...]],30,939870097,0.011985373,ZDT6
NSGA-II Run 57,0.018088921,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.142878982,[[0;1]],50,00:24.6,0.000357205,120.3152444,[[1;3.21554306376389E-05][0;1.00001607819586][0.939595084861426;0.117191357475759][0.540031101711459;0.708387199529677][...]],50,1211678998,0.017128235,ZDT2
NSGA-II Run 58,0.013433807,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.163071496,[[0;1]],50,00:25.5,0.001612356,128.7646823,[[0.851843275130741;-0.773368966635728][0;1.00000000000327][0.652494798053558;-0.458263233153084][0.618398410825045;-0.124246657237247][...]],50,1949645808,0.03847874,ZDT3
NSGA-II Run 58,0.020404249,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.137045205,[[0;1]],50,00:31.6,0.000422404,120.6462624,[[1;1.96590653558155E-07][0;1.00000039680515][0.647987126608797;0.195023762872171][0.573946098051753;0.242407965065347][...]],50,334238777,0.025843389,ZDT1
NSGA-II Run 59,3.154867496,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.071920647,[[0;1][-5;5]],30,00:24.9,0.124101653,117.5117992,[[0;1][1;0.294246592524357][0.521141347926197;0.490517792994922][0.577397496390768;0.463723405001882][...]],30,1945156179,0.021409455,ZDT4
NSGA-II Run 54,0.05224442,117.5185752,[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.113483278,[[0;1]],30,00:25.0,0.001736134,117.4663308,[[0.999999999272047;0.00354944303311993][0.280775318815369;0.923353949720144][0.353106787710376;0.877356483239025][...]],30,1094391300,0.013565238,ZDT6
NSGA-II Run 58,0.019686366,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.141225041,[[0;1]],50,00:25.0,0.000380221,120.313647,[[0;1.00000295964885][1;5.86602757423001E-06][0.888361590535536;0.210819002779867][0.501102044761202;0.748900440104233][...]],50,280669882,0.020448195,ZDT2
NSGA-II Run 59,0.013429699,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.159767604,[[0;1]],50,00:25.4,0.001142406,128.7646864,[[0;1][0.851830528707461;-0.7733690100244][0.453888837003565;-0.124218434478576][0.257764349417648;0.242161085997342][...]],50,997730317,0.035157746,ZDT3
NSGA-II Run 59,0.019010744,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.139608917,[[0;1]],50,00:32.0,0.000460059,120.6476559,[[1;1.96858053924922E-06][0;1.0000039360131][0.023622435154628;0.846307731174747][0.343469397985922;0.413940168888527][...]],50,710008833,0.017939656,ZDT1
NSGA-II Run 60,3.230675014,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.075443044,[[0;1][-5;5]],30,00:25.0,0.124770645,117.4359917,[[0;1][1;0.30160361037908][0.925879871443391;0.327984475272937][0.724117305895896;0.405699031796302][0.841550725466877;0.359318574692061][...]],30,1309989237,0.017558146,ZDT4
