,Absolute Distance to BestKnownHypervolume,Best known hypervolume,BestKnownFront,Bounds,Crowding,Encoding.Bounds,Encoding.ProblemSize,Execution Time,Generational Distance,Hypervolume,Pareto Front,ProblemSize,Seed,Spacing,TestFunction
NSGA-II Run 6,0.01148336,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.081715877,[[0;1]],50,00:24.0,0.00037405,120.6551833,[[1;2.88180483593973E-07][0;1.00000057109071][0.143070122058677;0.621754352928156][0.68199476337959;0.174170598443997][...]],50,500584887,0.012859242,ZDT1
NSGA-II Run 5,0.010528898,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.081521207,[[0;1]],50,00:24.9,0.000399117,120.3228044,[[0;1.00000144604079][1;2.98247638166699E-06][0.820688812082004;0.326472349150411][0.844931836053555;0.286092795743691][...]],50,1409204758,0.012283578,ZDT2
NSGA-II Run 5,1.136630106,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.044479278,[[0;1][-5;5]],30,00:24.9,0.04712622,119.5300366,[[0;1][1;0.105618570879771][0.651665408324154;0.278005406582417][0.711535452452035;0.245569343972527][...]],30,1978670070,0.007287709,ZDT4
NSGA-II Run 6,0.006367538,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.107459302,[[0;1]],50,00:25.4,0.001484625,128.7717486,[[0.851829148448839;-0.773369006491634][0;1.0000000000158][0.618400372326448;-0.124280892401636][0.40931481421405;0.24214583754959][...]],50,267548602,0.018136117,ZDT3
NSGA-II Run 7,0.012165303,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.082414771,[[0;1]],50,00:24.8,0.000688684,120.6545014,[[0;1.00000044874671][1;2.24368968168036E-07][0.547137409209454;0.260312912945695][0.456907899598105;0.324050671301947][...]],50,1843505622,0.008435307,ZDT1
NSGA-II Run 6,1.137219876,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.044724258,[[0;1][-5;5]],30,00:25.8,0.046942012,119.5294468,[[0;1][1;0.105576780807862][0.118352269702428;0.692297297524365][0.916344197300366;0.14380573374176][0.148228949792884;0.655642462289628][...]],30,1343957439,0.011876397,ZDT4
NSGA-II Run 6,0.011619107,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.081444344,[[0;1]],50,00:26.0,0.000335067,120.3217142,[[1;1.45796195961522E-06][0;1.00000072166309][0.754163429375177;0.431238670288118][0.710887185440023;0.494640514789722][...]],50,1070669140,0.010245514,ZDT2
NSGA-II Run 7,0.007340769,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.107641768,[[0;1]],50,00:26.4,0.001332521,128.7707754,[[0;1.00000000001376][0.851819837576294;-0.773368940758063][0.652524564483395;-0.45826327212272][0.453881932232414;-0.124218444732723][...]],50,1494405,0.017621514,ZDT3
NSGA-II Run 8,0.011310303,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.081390803,[[0;1]],50,00:25.3,0.000551289,120.6553564,[[0;1.0000008091785][1;4.04297570041124E-07][0.302531452750307;0.449972001547592][0.443101149997697;0.334342108494522][...]],50,258726672,0.010716892,ZDT1
NSGA-II Run 7,0.036789159,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.046973728,[[0;1][-5;5]],30,00:26.3,0.001246411,120.6298775,[[0;1][1;0.00223080925181263][0.784232490023034;0.116419056301883][0.714699472364382;0.156516737302462][...]],30,1090698755,0.01286734,ZDT4
