,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 10",5786,0,922.7800884,119.6538757,0,194.2158403,37719.79261,0,164.8664018,428.7802722,0,0,419.3594145,0.089634331,-139.6134253,0.594333387
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 11",5786,0,1044.678678,190.7067751,0,253.9373962,64484.20117,0,399.8751398,579.3359878,0,0,557.5844623,0.128749458,-181.7010331,0.717279077
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 8",9028,0,1330.995492,1053.876352,1325.933802,499.2675583,249268.0947,1269.662579,1330.92032,1330.94394,247.1201816,247.4974257,1330.942623,0.143356818,406.8353527,0.560041191
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 12",5786,0,1327.976885,439.782047,88.51763792,537.2374313,288624.0576,0,1221.553566,1274.501603,0,0,1272.415098,0.285957365,-387.3496311,0.790534287
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 11",5786,0,1330.64971,1161.514902,1300.234235,353.3444439,124852.2961,1261.220675,1325.635003,1327.146492,716.0153523,719.3589971,1326.183078,0.137853897,762.772505,0.424709746
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 9",9028,0,1330.99673,1088.960948,1330.854817,481.5281884,231869.3962,1302.074237,1330.943118,1330.958359,375.1931689,375.5893994,1330.953553,0.130152033,501.5197486,0.496259047
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 13",5786,0,1330.630345,585.3081604,103.400315,591.397691,349751.2289,0,1187.134038,1244.765717,0,0,1224.914194,0.31404791,-323.0754205,0.786834208
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 12",5786,0,1329.21374,863.310824,1285.381693,576.9341405,332853.0025,48.84296508,1299.864067,1307.725666,2.011819506,7.679274781,1298.261867,0.29640004,5.973709238,0.736469391
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 9",9028,0,1330.99136,1074.462261,1328.779586,509.0688008,259151.044,1263.603136,1330.655217,1330.932587,320.9844394,322.4112651,1330.924681,0.136592212,457.9533112,0.489045055
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 14",5786,0,1330.328816,641.1359911,738.2574692,621.5475759,386321.3892,0,1291.60462,1311.062849,0,0.335932709,1308.456209,0.33529064,-328.6921844,0.81197895
