, Count, Minimum, Maximum, Average, Median, Standard Deviation, Variance, 25th Percentile, 75th Percentile, Avg. of Upper 25 %,  Avg. of Lower 25 %, Avg. of First 25 %, Avg. of Last 25 %, Slope, Intercept, Average Relative Error
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 1, 6309, 0, 1734.3333333333333, 823.01068065600782, 831, 393.61535155331103, 154933.04497843664, 526.63265306122446, 1156, 1319.7998204756996, 300.254928433836, 301.93790541474311, 1317.3441957011619, 0.21414759436040326, 147.5891680432959, 0.98195364010589958
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 2, 6309, 0, 1791, 821.73597792073383, 833, 395.665018113924, 156550.80655909184, 521.75, 1157, 1320.3871347106908, 298.44940303272995, 302.798782899369, 1316.0822283582172, 0.21543596240128812, 142.25095250707113, 0.98353480548599359
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 3, 6309, 0, 2038.1428571428571, 816.18560414013393, 839, 399.65361417481779, 159723.01132299411, 497, 1151, 1314.8486526414829, 277.12362012813537, 279.03690053224386, 1311.2655324041011, 0.21765748197071644, 129.69390600449424, 0.98398471510718144
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 4, 6309, 0, 1801, 819.36169312441109, 839, 394.9724906670578, 156003.26838373908, 496, 1151, 1316.1608912200024, 293.95111816554919, 299.97965268438168, 1312.7401471431651, 0.2150289129071527, 141.16050181525145, 0.98326065660216289
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 5, 6309, 0, 1919.918918918919, 825.51071939435792, 826, 392.14091048135344, 153774.49367314484, 514, 1149, 1319.3313339196015, 300.33294961152774, 304.9276408680542, 1317.9649351493088, 0.21325177740398379, 152.91461346219307, 0.98109181853417038
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 6, 6309, 0, 1901, 819.54365046650355, 836, 404.89435916751592, 163939.44208567339, 523, 1157, 1326.5410406282485, 278.46936283996183, 279.08037777980906, 1324.4677713087426, 0.22032312064462486, 124.64452795335671, 0.98230269687634819
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 7, 6309, 0, 1795.8717948717949, 819.32639502260372, 836, 391.09171872979886, 152952.73245902811, 517, 1140, 1312.1651929612115, 296.06125425741169, 301.03897248525789, 1311.2097842441037, 0.21273880842734361, 148.34819324276202, 0.9816232708100544
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 8, 6309, 0, 1795.8717948717949, 824.98270840000851, 847, 391.46028294378203, 153241.15312242589, 517, 1155, 1319.7076558339954, 303.07827705837713, 307.80366256301204, 1316.0716127874773, 0.2130413260716662, 153.05036596997331, 0.98256421404817407
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 9, 6309, 0, 2001, 823.16058718982185, 847, 395.49430364345631, 156415.74421442242, 515, 1167, 1313.170252786962, 290.89396417766989, 298.50885005941535, 1308.7814354418472, 0.21498390428771141, 145.10135306638006, 0.98025725848240275
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 10, 6309, 0, 1761, 824.19004298628624, 833, 392.97392701927646, 154428.50731695164, 534, 1151, 1314.2415394768236, 295.59140597991467, 300.64034573366723, 1312.205183910721, 0.2138211441670648, 149.79815428336383, 0.98216050300876823
