, Count, Minimum, Maximum, Average, Median, Standard Deviation, Variance, 25th Percentile, 75th Percentile, Avg. of Upper 25 %,  Avg. of Lower 25 %, Avg. of First 25 %, Avg. of Last 25 %, Slope, Intercept, Average Relative Error
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 1, 48, 7, 6307, 1538.25, 307, 2484.8610774987173, 6174534.5744680855, 7, 707, 5373.666666666667, 7, 5373.666666666667, 32, -135.79570125922709, 4729.4489795918362, 0.58536114140821249
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 2, 42, 7, 6307, 1616.5238095238096, 307, 2656.2222875510047, 7055516.8408826934, 107, 307, 6307, 7, 6307, 34.272727272727273, -165.02714528806419, 4999.5802879291259, 0.580922825933949
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 3, 47, 7, 6307, 1541.0425531914893, 207, 2517.4414716865317, 6337511.5633672513, 7, 707, 5797.909090909091, 7, 5797.909090909091, 23.666666666666668, -140.89962997224791, 4781.7340425531911, 0.588923371457239
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 4, 47, 7, 6307, 1553.8085106382978, 207, 2515.5906095206751, 6328196.1147086015, 7, 807, 5807, 7, 5807, 7, -142.19472710453283, 4824.2872340425529, 0.6006823950091118
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 5, 44, 7, 6307, 1616.090909090909, 207, 2583.2031838819335, 6672938.6892177584, 7, 607, 5788.818181818182, 7, 5788.818181818182, 7, -156.23678646934462, 4975.181818181818, 0.6035780045667245
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 6, 41, 7, 6307, 1680.1707317073171, 307, 2663.1770866996344, 7092512.1951219514, 107, 307, 6307, 17, 6307, 70.63636363636364, -170.0871080139373, 5081.9128919860632, 0.58532167088911025
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 7, 44, 7, 6307, 1538.8181818181818, 157, 2617.7189366487842, 6852452.4312896421, 107, 307, 5761.545454545455, 16.09090909090909, 5761.545454545455, 25.181818181818183, -151.98026779422128, 4806.393939393939, 0.55617610410544072
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 8, 50, 7, 6307, 1487, 307, 2446.4885289837307, 5985306.122448978, 107, 707, 5373.666666666667, 23.666666666666668, 5373.666666666667, 30.076923076923077, -126.77070828331333, 4592.8823529411766, 0.57057192762538722
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 9, 44, 7, 6307, 1636.5454545454545, 107, 2578.8567455686457, 6650502.1141649056, 107, 807, 5807, 16.09090909090909, 5807, 16.09090909090909, -157.59689922480621, 5024.878787878788, 0.61620447089877439
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 10, 48, 7, 6307, 1450.75, 207, 2521.5586407465139, 6358257.9787234059, 7, 407, 5323.666666666667, 7, 5323.666666666667, 32, -133.07099435518887, 4577.9183673469379, 0.545864348567668
