, Count, Minimum, Maximum, Average, Median, Standard Deviation, Variance, 25th Percentile, 75th Percentile, Avg. of Upper 25 %,  Avg. of Lower 25 %, Avg. of First 25 %, Avg. of Last 25 %, Slope, Intercept, Average Relative Error
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 1, 6309, 0, 1330.8610922189334, 1006.3664057499373, 1312.8176126607229, 519.46037189912852, 269839.07797358086, 617.67725489278337, 1320.2710490453564, 1323.464601510974, 128.69462625359171, 130.81276202226181, 1321.6342550772181, 0.22405755228561633, 299.68888584110334, 0.61719581247034827
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 2, 6309, 0, 1330.9328980361072, 862.20886229146538, 1316.2765188292358, 601.47466472978931, 361771.77231181244, 97.219050788727614, 1323.1009614074339, 1326.9090420441726, 7.389698207545889, 13.57207445832741, 1325.1294516684356, 0.28295256340871539, -30.22352269962289, 0.73417776698152959
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 3, 6309, 0, 1330.0988654019366, 881.96400202521966, 1262.7637995990849, 581.38772955040361, 338011.69207177329, 0, 1303.4682427492189, 1312.6255475919536, 0, 0, 1308.9094842053426, 0.26866568085211806, 34.59244461763933, 0.70843711300380163
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 4, 6309, 0, 1330.9402506940514, 793.60880998305618, 1024.135276809664, 562.4993448255882, 316405.512929216, 54.62337702981894, 1317.1593546434704, 1328.7235831201776, 3.9531717120550161, 7.1806415862257875, 1327.7861346542436, 0.28690571098560358, -111.29180246553756, 0.86306396677832864
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 5, 6309, 0, 1330.7118933190595, 943.32409112796, 1278.8735689919251, 568.58240579087351, 323285.95217493759, 80.686286308873918, 1308.0416076827123, 1324.1084184363742, 9.3386150342274075, 13.261479765024006, 1322.2002234574231, 0.24853700831487502, 159.43836690284411, 0.63387546155602292
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 6, 6309, 0, 1329.7210082222055, 980.78328649789864, 1265.3547551513752, 502.62474328004419, 252631.63255733033, 794.54737442408407, 1299.5090661571116, 1310.3391634204309, 162.41851899964033, 177.10539681318951, 1306.6916559058834, 0.22184400093959203, 281.08730753442535, 0.64627341353356482
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 7, 6309, 0, 1330.9845741388931, 1041.8137892484503, 1324.0234721544296, 529.12074049371188, 279968.75802061404, 1214.2533239769518, 1326.0035160575867, 1327.6245797354111, 212.67535882830995, 219.01946950061532, 1325.8081504105551, 0.21095792204402627, 376.45250312159146, 0.52734004002321277
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 8, 6309, 0, 1330.9993210253067, 994.6030409136431, 1302.4449942878996, 513.47224225614616, 263653.7435675544, 835.6777635077251, 1328.3015496866619, 1329.1785212439831, 155.66665300999779, 166.34936109900434, 1329.0184790905425, 0.22886247105649632, 272.77080720145375, 0.65905834577365552
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 9, 6309, 0, 1330.8801939044693, 874.972205336648, 1091.71080719461, 514.82385783865573, 265043.60459987645, 482.58320462623692, 1329.7406537113886, 1330.1805235819845, 86.8042111705889, 94.231033760410767, 1330.0946722066337, 0.26019050737916222, 54.331345062770424, 0.84737219102805938
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 10, 6309, 0, 1330.9743252185817, 917.90696094471355, 1314.9772954117057, 590.54735905619759, 348746.18328824954, 85.639358247435041, 1329.5181377759152, 1329.9163775580898, 6.5744798671632845, 8.1229136730733682, 1329.5225573513865, 0.26805128343615153, 72.473212987091642, 0.68349439772188
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 11, 6309, 0, 1330.9926333873202, 1013.8231886119974, 1317.0281212364143, 536.41114870592344, 287736.92045600835, 1173.6029839665971, 1322.8671497166833, 1325.33147169212, 120.33006666839759, 120.42515457649139, 1324.3829503696236, 0.22356501380515184, 308.69913507054844, 0.57626299362643385
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 12, 6309, 0, 1330.5741787317797, 924.333013813959, 1267.6750010751673, 556.91750009698183, 310157.10191427171, 169.35959661559855, 1307.3574507295868, 1320.0566907979874, 7.9072062781365622, 9.0030703422622125, 1319.0281730348654, 0.25338761403141818, 125.14847915886605, 0.68674842930058622
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 13, 6309, 0, 1330.9488060537014, 1058.7769052918184, 1325.3382250776756, 518.4146767491435, 268753.777068919, 1316.7707527580164, 1330.2152034196388, 1330.4296714489039, 253.27817448819724, 253.59406184801531, 1330.3400237820617, 0.20413543148097713, 414.9337544008165, 0.51438802101950942
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 14, 6309, 0, 1330.8100175670631, 945.78052860445962, 1315.3721309071402, 532.84020796348955, 283918.68722257484, 517.22885223940978, 1324.3047848948381, 1326.6599576838605, 100.86519998380906, 119.4176482576453, 1326.2110049825376, 0.24892102338053193, 160.68362086226193, 0.72399875265736635
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 15, 6309, 0, 1330.9948444396537, 1027.7417258841754, 1269.3082429301187, 484.96590892608066, 235191.93282049955, 962.93952737955135, 1330.4108079354123, 1330.5686253902688, 256.67509331764063, 266.27886282620244, 1330.4931318183121, 0.21030720626706859, 364.43279731784105, 0.62387061143774281
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 16, 6309, 0, 1330.9573773404447, 1001.1371759837383, 1318.9956348719004, 505.61721220504847, 255648.765278005, 592.72605528337067, 1329.8456921494296, 1330.1859383882545, 167.84778433856803, 177.18545022713391, 1330.0152364662138, 0.22739951877535763, 283.91909376626029, 0.67103322446516112
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 17, 6309, 0, 1330.7191862272189, 812.10802413298154, 967.41885097993168, 513.258754670809, 263434.5492462297, 7.2719523183221222, 1278.3242072421076, 1294.4656347436351, 0.11535215421442262, 0.43143584123576778, 1291.0563599845052, 0.25345962455064153, 12.6963683002582, 0.80900924258510032
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 18, 6309, 0, 1330.9639557210451, 1059.1874006493656, 1327.5786725190117, 514.92953921424657, 265152.43035539635, 1324.4689737351862, 1328.8342459333937, 1329.4973619889956, 252.37940320250175, 252.48648352358421, 1329.1025319185621, 0.20342027820197067, 417.59984320035005, 0.51772783663903366
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 19, 6309, 0, 1330.9714587414285, 894.60084311766923, 1251.5253735823464, 576.32822505967431, 332154.22300043463, 0, 1316.330402632499, 1320.6178974724735, 0, 0, 1317.6152830442381, 0.26684183544485429, 52.981694124598789, 0.71117535899467232
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 20, 6309, 0, 1330.8205981374979, 1030.7370779211703, 1255.8963152936374, 455.03070409472377, 207052.94166894007, 1108.6391645381982, 1282.2238481426609, 1296.8340377793579, 357.01530565538184, 366.63618079162251, 1285.6050259596789, 0.18459419514896172, 448.5269864213451, 0.54596313041658651
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 21, 6309, 0, 1330.9445686740974, 1000.3044883560888, 1328.3488843204664, 527.3200051801058, 278066.38786314684, 814.96424434318783, 1329.7133131697258, 1330.1067155447865, 136.16480637083598, 151.91138543066654, 1330.0006337248669, 0.23145436711985795, 270.29741446005676, 0.63913250334321292
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 22, 6309, 0, 1330.8847374131062, 1007.1062539057368, 1284.1752741297416, 530.35762961264845, 281279.21528834716, 1165.5969847161543, 1327.5554779222623, 1328.6503320100344, 137.37751848035694, 141.1191809651732, 1328.3365823216309, 0.22385049150906491, 301.08180368614603, 0.59099948631878563
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 23, 6309, 0, 1330.9989781986715, 961.72047225731581, 1327.0586973410318, 533.54247200534076, 284667.56943356979, 790.29531889384248, 1330.2252983760059, 1330.4813382356713, 94.278538044152427, 104.7382513667206, 1330.3595798638989, 0.2449458882388704, 189.16114075191854, 0.69921535112105326
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 24, 6309, 0, 1330.9871930872846, 996.679682719275, 1326.3168356842764, 541.9624582989029, 293723.30620539008, 726.26477930765714, 1327.5722848349606, 1328.4838700287528, 87.009132127023364, 96.418521151868291, 1327.3091186192069, 0.23422452279289924, 257.93553783047082, 0.61963359789642636
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 25, 6309, 0, 1329.7873936015831, 931.47788863284131, 1237.5399044158085, 527.69093379316553, 278457.721607503, 576.09757963274535, 1300.8206989047817, 1311.5354006315017, 58.030721276020813, 63.780193684899011, 1305.9100139403506, 0.2440041665226699, 161.88874742034045, 0.70932270203164172
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 26, 6309, 0, 1330.977836572552, 841.30955981209854, 1327.9140287509113, 605.65624800294461, 366819.49074500438, 6.8770706531745729, 1328.9669490515007, 1329.5072191474085, 0.21070076780801053, 0.965026248091945, 1328.8615584662211, 0.29048551071413531, -74.881740980284235, 0.76314170273033266
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 27, 6309, 0, 1330.2607512293298, 1022.7435061504736, 1263.2887169724113, 487.7693654955022, 237918.95391588481, 1202.9493333133237, 1298.4011527558939, 1310.1162624811145, 258.83835336015261, 263.88293866598377, 1307.01290558214, 0.20036970173702612, 390.77746687189324, 0.55981393183010764
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 28, 6309, 0, 1326.2677410878266, 658.89395485590137, 753.9541414442715, 456.55544602286722, 208442.87529313919, 21.786365414677071, 1010.5481279947758, 1207.5830922721523, 1.244940815677549, 1.4142046645940161, 1193.7953454760511, 0.23626500267746994, -86.285863588838879, 0.8884241926624018
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 29, 6309, 0, 1325.8433680695914, 934.60939757366009, 1188.2690525720704, 518.84538581168852, 269200.53437807993, 1068.5578267476064, 1265.3676627113393, 1307.1123956127092, 61.001851917158561, 63.646880385618545, 1298.66794052565, 0.22668909150330796, 219.63200297222681, 0.63327736703870952
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 30, 6309, 0, 1330.9985707911569, 1060.9586327427942, 1314.0103460192227, 503.95797120302075, 253973.63673906471, 1212.6001572882801, 1330.5119921087041, 1330.7065164353085, 297.70062447741208, 301.38457470819992, 1330.6835659247324, 0.20035574372577025, 429.03661703171485, 0.52435280678391
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 31, 6309, 0, 1330.9086066870514, 830.80797212087543, 1276.8160257706995, 579.6537237818626, 335998.43949417991, 23.761679019876055, 1302.1187001245517, 1310.9372431203749, 2.25947699383335, 3.3456920018043634, 1307.4446009174819, 0.28117905657946618, -56.0307723307609, 0.780615767242056
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 32, 6309, 0, 1330.9434472999467, 924.46008997546289, 1282.6421218574919, 539.1105192862874, 290640.15200513043, 695.88494322329552, 1325.9747778142403, 1328.5244950020399, 42.800173182977851, 49.934354637335396, 1328.0392609367304, 0.25480438345493633, 120.80706455859365, 0.74108294482244563
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 33, 6309, 0, 1330.9733814568276, 913.33952403796184, 1232.2466721110845, 525.17795102641787, 275811.88024430658, 546.84845331819679, 1316.909146807048, 1322.1827255041787, 68.990098571339658, 80.976914436218692, 1320.7389715913439, 0.2533376841140072, 114.31246834238311, 0.7719608291873109
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 34, 6309, 0, 1330.8132471258402, 1036.5026289437217, 1308.3164197538363, 521.66227479338284, 272131.52894260688, 1216.64865125171, 1320.90188728427, 1327.3361649809324, 217.27496640166962, 218.84867845961628, 1325.9938777699238, 0.21027054427293543, 373.30933230688333, 0.53899738304712963
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 35, 6309, 0, 1330.9951249850521, 1022.4618031240254, 1233.91858759848, 488.272090723871, 238409.63457986011, 1126.1847292689067, 1329.5838581432263, 1330.1539063790253, 272.92092870747405, 282.45723780754156, 1330.0665297390628, 0.20677703754447541, 370.28702670875, 0.59496231248220222
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 36, 6309, 0, 1330.1430576640241, 980.33821432358684, 1313.8269115798007, 538.2174645106652, 289678.03910428914, 779.1428870657237, 1320.164826596967, 1323.0636759590091, 76.331711983366432, 80.132978779248958, 1320.6414349010272, 0.23696999903255275, 232.93483737491545, 0.6431019140491756
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 37, 6309, 0, 1330.9999446546242, 943.03326698698891, 1318.6633873022504, 573.37099287789783, 328754.29547378636, 166.39481661480221, 1329.4606934144258, 1329.9755631208816, 23.415653402953318, 30.865156122610717, 1329.7827634684936, 0.25724853317085888, 131.6713933661, 0.66779477824783884
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 38, 6309, 0, 1330.2809928039103, 1029.4735409761704, 1311.8643409646479, 501.307321237538, 251309.03032635615, 1170.4855476803516, 1320.7365434767546, 1323.4689260863877, 233.00629207848965, 236.33489169861326, 1321.1173832107715, 0.20979107876067116, 367.79247856501354, 0.58099792112084148
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 39, 6309, 0, 1330.9943680526476, 1150.2774366669075, 1313.0581251717977, 423.66787935908394, 179494.47200062333, 1281.1195960332589, 1330.2522963186723, 1330.6225144830175, 648.127393241375, 652.6858562114304, 1330.5913785468153, 0.14158237119841507, 703.72663790710635, 0.37048951843028266
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 40, 6309, 0, 1330.8662997173096, 986.62706791720962, 1306.9303679587185, 521.87271628606186, 272351.13200379239, 607.48366764215234, 1319.3979181205191, 1323.0655385546177, 124.34305482635777, 136.31503446432703, 1322.1920418119669, 0.23143492433720683, 256.68131655765922, 0.65243499595113119
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 41, 6309, 0, 1330.9137960006476, 1039.3087430717951, 1322.2273800029611, 506.2103066670511, 256248.87457594994, 1083.0917835130649, 1327.4713084636221, 1328.538838466384, 235.69881939558, 245.99490881126766, 1328.1480605335214, 0.2103206066484235, 375.95754970266739, 0.57267777042693435
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 42, 6309, 0, 1330.7758798902105, 1045.9758460702267, 1318.3990470743404, 509.38953247161271, 259477.69579164821, 1206.9208390109463, 1326.3155481381798, 1327.7593204452196, 245.55972779619447, 246.37156025691476, 1327.2906046124838, 0.20700867929481431, 393.07047157438228, 0.54788034065841862
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 43, 6309, 0, 1330.9709778642562, 1053.5916075284338, 1323.6112460216318, 511.83582149523608, 261975.90816570318, 1287.2863298078898, 1326.733233014123, 1328.5770650589959, 248.59076733395051, 249.5261177139551, 1327.8539154073112, 0.20489533256983078, 407.35172860318744, 0.5316323707426176
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 44, 6309, 0, 1330.4692584440609, 973.360951171252, 1273.0448152318886, 534.64800797018688, 285848.492426489, 1071.6649817389564, 1306.0115528412966, 1312.8819392804114, 73.466088642594784, 75.610290107795763, 1308.1932073793675, 0.23073297635380441, 245.6291437513529, 0.61786283267362474
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 45, 6309, 0, 1330.8596085401, 1038.8867630298359, 1293.9645093429235, 485.0475093982547, 235271.08637345, 1053.7490231428119, 1316.712456696172, 1321.4505787215478, 282.139357149854, 285.96678977620815, 1320.6392421619535, 0.20148333731655862, 403.40831713341004, 0.57242468564184557
