,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 1",10984,958.2153851,1330.996627,1327.95503,49:44.4,8.922247777,79.60650539,1328.101585,1329.702947,1329.959057,1323.812928,1324.764625,1329.054289,0.000556133,1324.901027,0.039064966
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 1",5786,1045.993812,1330.997499,1329.795049,42:53.0,5.806980626,33.72102399,1329.576592,1330.496316,1330.745083,1328.41668,1329.16711,1330.029396,0.000230163,1329.129303,0.004383487
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 1",6137,1176.505435,1330.99983,1329.632171,02:28.3,4.504113666,20.28703991,1329.56283,1330.212859,1330.562074,1328.204416,1328.741888,1329.955429,0.000288061,1328.748399,0.012839643
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 1",6473,982.6779611,1330.99996,1329.273901,05:17.6,7.894532213,62.32363886,1329.521078,1330.128495,1330.415215,1327.020539,1327.418063,1329.904934,0.000573204,1327.419012,0.018410397
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 1",6957,1207.369053,1330.992586,1329.320056,47:20.5,3.343167269,11.17676739,1329.267605,1330.040302,1330.357016,1327.553152,1327.845783,1329.911678,0.000419306,1327.86171,0.063455762
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 2",5786,1000.830444,1330.999232,1329.639104,05:53.0,7.4846514,56.02000657,1329.55141,1330.434554,1330.74004,1327.868697,1328.559488,1330.064327,0.000385308,1328.5246,0.007394761
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 2",6137,1250.203569,1330.994292,1329.849592,01:52.1,1.913365507,3.660967563,1329.609563,1330.272919,1330.611199,1328.941502,1329.476825,1330.044745,0.000137043,1329.429143,0.016103521
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 2",6473,1152.244691,1330.999829,1329.262016,39:44.2,4.812373519,23.15893888,1329.484154,1330.110796,1330.416229,1327.005843,1327.323992,1329.957261,0.000572553,1327.409233,0.049432256
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 2",6957,1294.579551,1330.99455,1329.427878,56:00.7,1.692740334,2.865369837,1329.368406,1330.059317,1330.367733,1327.873672,1328.238515,1329.92985,0.000335167,1328.262166,0.158149558
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 3",5786,1115.721949,1330.99989,1329.75627,29:09.2,5.11389902,26.15196319,1329.507803,1330.488979,1330.747235,1328.290664,1328.945805,1330.088434,0.000290049,1328.917304,0.008976119
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 3",6137,1110.020497,1330.997341,1329.735721,58:11.4,5.621719801,31.60373352,1329.632165,1330.29832,1330.617627,1328.418753,1328.88987,1330.05729,0.000272169,1328.900707,0.007357666
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 3",6473,1204.609827,1330.997851,1329.467783,37:13.5,2.711652131,7.35305728,1329.414411,1330.116802,1330.442071,1327.873749,1328.229908,1329.923964,0.000345186,1328.35076,0.056589579
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 3",6957,1158.458372,1330.997208,1329.111221,19:08.8,4.189192558,17.54933428,1329.297325,1330.01765,1330.319635,1326.724372,1326.997597,1329.889113,0.000580353,1327.092754,0.077419247
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 4",5786,1152.592874,1330.998747,1329.826442,02:13.2,3.452591088,11.92038522,1329.527907,1330.487019,1330.747698,1328.60354,1329.263575,1330.021686,0.000186256,1329.287697,0.008120433
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 4",6137,894.8041684,1330.998087,1329.539174,31:10.0,8.60837161,74.10406178,1329.614754,1330.302073,1330.633591,1327.634089,1328.199107,1330.020269,0.000436251,1328.200754,0.008061826
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 4",6473,1099.168033,1330.997823,1329.261713,39:50.4,5.569066175,31.01449806,1329.315097,1330.126,1330.451643,1327.082054,1327.282216,1329.97775,0.000565661,1327.431235,0.036028326
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 4",6957,1156.936083,1330.996004,1329.145022,11:31.6,5.012072315,25.1208689,1329.243737,1330.037595,1330.354741,1326.886196,1327.281016,1329.927343,0.000539864,1327.267374,0.046801454
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 5",5786,1154.350918,1330.998242,1329.909821,21:14.3,3.0930148,9.566740552,1329.610207,1330.482578,1330.763607,1328.802852,1329.546002,1329.963755,0.000115264,1329.576421,0.003874994
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 5",6137,1296.882319,1330.998742,1329.762872,48:38.2,1.169386144,1.367463954,1329.543726,1330.233998,1330.551493,1328.755948,1329.211989,1329.968897,0.000176117,1329.222544,0.071201623
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 5",6473,1248.781519,1330.998689,1329.445035,17:36.8,2.873434106,8.256623562,1329.412557,1330.109377,1330.429738,1327.763723,1328.040807,1330.001952,0.000421798,1328.080095,0.075249674
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 6",5786,1099.846188,1330.999626,1329.719314,59:54.2,6.283300337,39.47986313,1329.514638,1330.451306,1330.747469,1328.188048,1328.746509,1330.15897,0.000350197,1328.706369,0.008667623
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 5",6957,1179.365854,1330.991559,1329.314854,01:55.6,2.775324083,7.702423768,1329.321121,1330.090071,1330.378115,1327.396099,1327.711871,1329.971597,0.000451798,1327.7435,0.106902197
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 6",6137,1133.497493,1330.993177,1329.570101,06:55.9,5.786131658,33.47931957,1329.609126,1330.309925,1330.642084,1327.725277,1328.253465,1329.905817,0.000386855,1328.383231,0.014032034
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 6",6473,1182.938092,1330.999994,1329.483355,18:20.7,3.127199623,9.779377482,1329.448613,1330.106556,1330.418041,1327.929093,1328.270036,1329.967964,0.000365775,1328.299706,0.047776517
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 7",5786,1169.126031,1330.998964,1329.643048,14:59.2,5.023119836,25.23173288,1329.477975,1330.505769,1330.774908,1327.851061,1328.435604,1330.143767,0.000423034,1328.419422,0.019790406
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 6",6957,1207.909066,1330.999959,1329.316661,08:33.5,3.336882406,11.13478419,1329.360953,1330.079604,1330.382681,1327.388154,1327.666145,1329.944342,0.000451295,1327.747058,0.073784323
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 7",6137,1135.924882,1330.999491,1329.58937,00:06.6,5.680702596,32.27038199,1329.547561,1330.257795,1330.636047,1327.949865,1328.478188,1329.984232,0.000359977,1328.484962,0.012605102
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 7",6473,1120.519392,1330.999962,1329.33694,46:44.5,5.707996144,32.58121998,1329.458367,1330.154311,1330.496716,1327.214394,1327.60179,1329.901043,0.000519795,1327.654885,0.028959634
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 8",5786,1220.326263,1330.999972,1329.819798,16:22.6,3.01114359,9.066985718,1329.505396,1330.418551,1330.699298,1328.690071,1329.321425,1329.946933,0.000154301,1329.373484,0.007326946
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 8",6137,1244.10171,1330.999776,1329.740606,38:38.0,2.234824114,4.99443882,1329.583035,1330.253958,1330.606719,1328.536237,1329.088459,1330.000838,0.00021189,1329.090527,0.028218711
