,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 48",11,55,6955,5236.818182,6955,2951.886916,8713636.364,955,6955,6955,505,3505,4955,-68.18181818,5577.727273,0.005868545
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 49",10,55,6955,2965,1555,2793.027032,7801000,1555,6955,6955,505,3505,1555,-289.0909091,4265.909091,0.098204193
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 51",5,58,5983,3666,5983,3174.066004,10074695,323,5983,5983,58,58,3153,53,3560,0.000697043
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 50",8,23,5983,2294.875,170.5,3054.85087,9332113.839,23,5983,5983,23,3045.5,23,-643.1547619,4545.916667,0.265951351
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 49",10,55,6955,6265,6955,2181.971586,4761000,6955,6955,6955,3505,3505,6955,376.3636364,4571.363636,0.272727273
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 50",12,55,6955,3455,2155,3152.488195,9938181.818,655,6955,6955,355,2455,2755,77.62237762,3028.076923,0.007881526
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 50",10,55,6955,5725,6955,2617.059419,6849000,6955,6955,6955,805,3505,5155,81.81818182,5356.818182,0.008959503
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 51",10,55,6955,6265,6955,2181.971586,4761000,6955,6955,6955,3505,3505,6955,376.3636364,4571.363636,0.272727273
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 52",5,73,5948,4773,5948,2627.379874,6903125,5948,5948,5948,73,73,5948,1175,2423,0.5
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 51",5,38,5983,4794,5983,2658.684825,7068605,5983,5983,5983,38,38,5983,1189,2416,0.5
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 51",10,55,6955,6265,6955,2181.971586,4761000,6955,6955,6955,3505,3505,6955,376.3636364,4571.363636,0.272727273
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 52",11,55,6955,3655,2155,3200.312485,10242000,955,6955,6955,205,3505,4955,-40.90909091,3859.545455,0.001797412
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 53",7,3,5973,2603.714286,208,3152.333036,9937203.571,33,5973,5973,3,33,105.5,14.46428571,2560.321429,9.83E-05
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 52",8,8,5968,2301.125,233,3038.060868,9229813.839,15.5,5968,5968,8,93,2988,205.8928571,1580.5,0.027557567
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 53",10,55,6955,6265,6955,2181.971586,4761000,6955,6955,6955,3505,3505,6955,376.3636364,4571.363636,0.272727273
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 52",10,55,6955,4525,6955,3170.015773,10049000,1555,6955,6955,205,805,5155,256.3636364,3371.363636,0.059951691
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 54",10,55,6955,5635,6955,2786.395521,7764000,6955,6955,6955,355,3505,4855,32.72727273,5487.727273,0.001264578
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 53",10,55,6955,4105,4405,3056.959274,9345000,1855,6955,6955,355,955,3155,125.4545455,3540.454545,0.015438494
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 54",6,28,5983,4002.166667,5983,3068.703988,9416944.167,53,5983,5983,28,53,3005.5,-3.571428571,4011.095238,4.74E-06
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 53",8,28,5983,3020.5,3065.5,3148.733305,9914521.429,45.5,5965.5,5983,28,28,123,16.66666667,2962.166667,0.000168104
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 55",12,55,6955,3680,1555,2921.122138,8532954.545,1555,6955,6955,1055,2855,3355,38.81118881,3466.538462,0.002294869
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 54",10,55,6955,5785,6955,2515.750385,6329000,6955,6955,6955,1105,1105,6955,580,3175,0.487228103
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 55",9,23,5983,2069.666667,183,2935.805894,8618956.25,83,5983,5983,23,53,2116.333333,204.5,1251.666667,0.036390935
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 56",12,55,6955,4180,4405,2942.517475,8658409.091,1855,6955,6955,955,2955,5255,208.7412587,3031.923077,0.065421703
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 55",10,55,6955,5155,6955,2942.787794,8660000,2155,6955,6955,355,3505,3255,-36.36363636,5318.636364,0.001399678
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 54",8,23,5978,2325.5,230.5,3025.40198,9153057.143,93,5978,5978,50.5,143,180.5,-204.047619,3039.666667,0.027292803
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 57",10,55,6955,6265,6955,2181.971586,4761000,6955,6955,6955,3505,3505,6955,376.3636364,4571.363636,0.272727273
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 56",12,55,6955,4430,6955,3137.203445,9842045.455,1255,6955,6955,655,2755,4855,290.5594406,2831.923077,0.111513634
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 56",5,38,5983,3649,5983,3196.90749,10220217.5,258,5983,5983,38,38,3120.5,616.5,2416,0.092970685
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 55",5,48,5983,3646,5983,3200.737415,10244720,233,5983,5983,48,48,3108,612,2422,0.091399277
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 58",11,55,6955,4745.909091,6955,3083.651908,9508909.091,955,6955,6955,505,805,2955,128.1818182,4105,0.019007056
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 57",11,55,6955,3218.636364,1855,3027.96061,9168545.455,355,6955,6955,205,655,855,-204.5454545,4241.363636,0.050196323
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 59",10,55,6955,5755,6955,2565.151068,6580000,6955,6955,6955,955,3505,5255,98.18181818,5313.181818,0.013429124
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 57",7,13,5983,2594.428571,113,3169.872125,10048089.29,28,5983,5983,13,58,20.5,-10.89285714,2627.107143,5.51E-05
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 58",10,55,6955,5695,6955,2671.329257,7136000,6955,6955,6955,655,3505,5055,65.45454545,5400.454545,0.005503465
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 56",5,38,5983,3617,5983,3239.848376,10496617.5,98,5983,5983,38,38,3040.5,12,3593,3.43E-05
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 60",10,55,6955,4525,6955,3157.372325,9969000,955,6955,6955,505,3505,1155,-369.0909091,6185.909091,0.125264076
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 59",12,55,6955,4430,6955,3168.34485,10038409.09,1255,6955,6955,255,655,3155,256.993007,3016.538462,0.085530512
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 58",5,38,5983,3652,5983,3192.934387,10194830,273,5983,5983,38,38,5983,1760,132,0.7596007
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 57",5,38,5983,3634,5983,3216.909231,10348505,183,5983,5983,38,38,3083,29,3576,0.000203169
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 61",10,55,6955,6265,6955,2181.971586,4761000,6955,6955,6955,3505,3505,6955,376.3636364,4571.363636,0.272727273
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 60",10,55,6955,6265,6955,2181.971586,4761000,6955,6955,6955,3505,3505,6955,376.3636364,4571.363636,0.272727273
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 62",11,55,6955,4609.545455,6955,3258.331977,10616727.27,655,6955,6955,355,355,2755,84.54545455,4186.818182,0.00740598
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 61",10,55,6955,5695,6955,2671.329257,7136000,6955,6955,6955,655,3505,6955,272.7272727,4467.727273,0.09554627
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 59",6,18,5968,3033.833333,3100.5,3215.062078,10336624.17,48,5968,5968,18,48,2993,487.2857143,1815.619048,0.080400116
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 58",9,23,5983,2739.666667,283,3077.766032,9472643.75,178,5983,5983,43,3023,213,-571.9166667,5027.333333,0.258973642
