,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 1",5786,0,1212.139806,1204.607186,00:00.0,80.93940617,6551.187471,1210,1210,1210.177856,1188.24343,1188.24356,1210.085193,0.005631731,1188.317405,0.013508726
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 1",6137,0,1330.891319,1220.621523,00:00.0,90.53488027,8196.564546,1210,1217.15029,1275.989147,1185.82351,1185.824252,1274.581973,0.018358324,1164.298184,0.12907317
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 1",6473,0,1330.99373,1237.767014,53:22.4,68.21283513,4652.990877,1210,1269.066036,1292.979701,1199.530284,1199.546698,1276.554413,0.017756932,1180.305581,0.236646851
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 1",6957,0,1330.999389,1248.922431,00:07.5,89.67466555,8041.545642,1210,1310.904689,1322.659462,1193.300748,1193.300787,1319.348936,0.026012141,1158.452206,0.339420317
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 1",9028,0,1328.241249,1240.39954,16:51.3,83.73965062,7012.329086,1210,1285.703089,1301.223696,1192.844484,1192.84454,1298.090834,0.01638581,1166.442187,0.260089902
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 1",10984,0,1329.360949,1230.68414,00:00.0,90.86886663,8257.150923,1210,1275.373916,1295.176388,1188.174412,1188.174415,1293.101974,0.012798194,1160.40286,0.19945571
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 2",5786,0,1310.73348,1206.396126,00:00.0,81.38083736,6622.840689,1210,1210.001055,1217.335976,1188.24343,1188.243664,1216.665477,0.007079658,1185.918215,0.021116937
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 2",6137,0,1330.826755,1209.628253,00:00.0,111.2713332,12381.30959,1210,1212.761671,1246.854203,1171.349413,1171.34955,1243.848215,0.016689367,1158.425274,0.070617921
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 2",6473,0,1330.868754,1214.580449,00:00.0,87.45509851,7648.394255,1210,1211.723027,1251.465443,1186.817058,1186.817127,1250.637836,0.013060624,1172.316269,0.077885147
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 2",6957,0,1330.999781,1247.479099,55:49.8,74.13369238,5495.804346,1210,1292.21774,1317.36488,1199.562967,1199.563592,1310.709658,0.022641139,1168.733216,0.376262103
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 3",5786,0,1211.203605,1208.586894,00:00.0,31.41011109,986.5950788,1210,1210,1210.006702,1204.338918,1204.338939,1210.00319,0.001464771,1204.350044,0.006068078
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 3",6137,0,1330.836773,1220.405484,00:01.9,69.30974121,4803.840227,1210,1230.008695,1262.690175,1196.590613,1196.590851,1260.700143,0.013025591,1180.442971,0.110868475
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 3",6473,0,1330.979515,1260.086277,14:45.4,58.00558164,3364.647502,1210,1315.113976,1323.739229,1207.756489,1207.760863,1313.652383,0.024482077,1180.862278,0.6220911
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 3",6957,0,1330.998649,1250.720744,15:28.7,77.53265793,6011.313045,1210,1306.730824,1318.435826,1198.867165,1198.867328,1310.416906,0.02343027,1169.230265,0.368392195
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 2",9028,0,1329.425269,1243.201364,00:00.0,47.52712574,2258.827681,1210,1281.992772,1313.104385,1209.46389,1209.463956,1311.197423,0.015099294,1175.050698,0.685614767
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 2",10984,0,1330.988323,1257.749338,00:00.0,53.1438187,2824.265466,1210,1314.770558,1322.539453,1209.559359,1209.559389,1318.788331,0.014526082,1177.979356,0.751226383
