,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 48",6957,0,1330.999972,1235.275852,1210.000036,105.5929869,11149.87889,1210,1282.040003,1308.054891,1180.776308,1180.777332,1302.671153,0.024544612,1149.909691,0.217955274
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 49",6957,0,1330.972245,1212.411964,1210,70.69301814,4997.502814,1210,1210.005289,1234.95657,1194.692352,1194.692655,1234.3388,0.007864739,1185.058402,0.049927608
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 51",5985,0,1210.0312,1201.508832,1210,101.0148056,10203.99096,1210,1210,1210.000239,1176.029412,1176.029511,1210.000005,0.008452759,1176.218177,0.020904825
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 50",5985,0,1210.008244,1208.382726,1210,44.21240695,1954.736928,1210,1210,1210.00041,1203.529412,1203.529495,1210.000066,0.001619259,1203.537902,0.004004646
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 49",6957,0,1330.999782,1265.341971,1276.153707,79.78092083,6364.995328,1210,1323.056746,1328.89538,1198.809038,1198.809084,1326.582532,0.02644795,1173.355999,0.44331368
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 50",6957,0,1330.987479,1222.055138,1210,53.20368218,2830.631798,1210,1232.196357,1261.767043,1203.041978,1203.042215,1260.495438,0.009957311,1187.42361,0.141294728
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 50",6957,0,1330.998235,1233.866199,1210,103.8662159,10788.19081,1210,1282.841498,1311.717721,1182.167913,1182.168061,1307.786773,0.024371256,1149.102971,0.222091725
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 51",6957,0,1330.99997,1260.898797,1257.502771,57.24541786,3277.037866,1210,1318.861443,1326.622219,1207.912593,1207.912657,1324.166544,0.023617186,1178.758226,0.686594
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 52",5985,0,1210.004381,1200.754134,1210,98.00353998,9604.693849,1210,1210,1210.000219,1173.010135,1173.010189,1210.000054,0.009193556,1173.247015,0.026272603
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 51",5985,0,1211.42964,1205.120492,1210,75.09628775,5639.452433,1210,1210,1210.010756,1190.46795,1190.467978,1210.010549,0.004876207,1190.530881,0.012587715
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 51",6957,0,1330.994488,1215.55446,1210,72.68056796,5282.464959,1210,1210.34416,1247.499081,1194.692352,1194.693061,1246.165882,0.00996726,1180.88833,0.075864765
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 52",6957,0,1330.999826,1266.445891,1282.74571,78.72699063,6197.939054,1210,1315.491705,1325.335951,1198.867165,1198.867672,1319.716851,0.024519768,1181.166138,0.391300669
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 53",5985,0,1210.181526,1206.36102,1210,66.26310992,4390.799736,1210,1210,1210.000471,1195.441176,1195.441218,1210.000153,0.003637269,1195.478311,0.008995531
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 52",5985,0,1210.044116,1202.721882,1210,93.56873615,8755.108385,1210,1210,1210.000311,1180.882353,1180.882436,1210.000071,0.007252547,1181.022261,0.017936563
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 53",6957,0,1330.999939,1260.567238,1283.287287,67.5614152,4564.544824,1210,1311.266057,1321.750823,1202.24538,1202.257055,1312.81562,0.023587236,1178.530833,0.491679159
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 52",6957,0,1330.999784,1233.424986,1210.083388,113.5688757,12897.88954,1210,1275.292444,1302.899105,1174.514089,1174.514609,1291.754572,0.02432049,1148.838323,0.184991238
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 54",6957,0,1330.990982,1228.380209,1210,61.21326992,3747.064415,1210,1247.303763,1282.863503,1201.650374,1201.655278,1278.503843,0.014473254,1178.042231,0.22551031
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 53",6957,0,1330.999816,1244.80086,1210.00223,70.53815972,4975.631976,1210,1292.702042,1312.873161,1200.921918,1200.922699,1306.25437,0.021364881,1170.493803,0.370064901
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 54",5985,0,1210.00901,1201.913225,1210,98.59694643,9721.357845,1210,1210,1210.000435,1177.647059,1177.647133,1210.000185,0.008052996,1177.81866,0.019916255
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 53",5985,0,1210.169945,1206.765313,1210,62.48392544,3904.240939,1210,1210,1210.000266,1197.058824,1197.058861,1210.000015,0.003234177,1197.088656,0.007998537
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 55",6957,0,1330.980685,1219.09263,1210,92.44211547,8545.544713,1210,1226.049375,1266.755498,1184.951121,1184.951162,1261.22982,0.01499145,1166.952368,0.106089573
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 54",6957,0,1330.999698,1256.592754,1256.071248,115.425693,13323.09061,1210,1320.758052,1326.657394,1177.993099,1178.0016,1318.890496,0.030210109,1151.521997,0.276327922
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 55",5985,0,1210.018649,1204.541434,1210,81.09417521,6576.265253,1210,1210,1210.000322,1188.161765,1188.161782,1210.000169,0.005447668,1188.242012,0.013472914
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 56",6957,0,1330.99422,1234.985413,1210,66.5376284,4427.255993,1210,1268.049978,1307.038887,1201.650374,1201.656792,1304.261285,0.018619221,1170.227762,0.315873775
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 55",6957,0,1330.999031,1225.331084,1218.493617,179.0285736,32051.23017,1210,1288.551293,1312.441314,1114.675101,1114.676475,1298.616725,0.03859882,1091.084388,0.187511773
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 54",5985,0,1210.004501,1200.700166,1210,105.680074,11168.27804,1210,1210,1210.000329,1172.794118,1172.794187,1210.000023,0.009251568,1173.019475,0.022880424
