,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 48",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0}",300032,05:59.5,5864,0,3,3,2.62E-06,1331,0.447923054,0.45266377,1330.999997,[[6.12303176911172E-17;4.54015187735584;1.04664867702171E-06][3.74915180455534E-33;6.53379570964737E-17;1.06708505786425][...]],0.186643891,16,211098667,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 49",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1}",300032,05:59.8,5864,1,3,3,6.15E-09,1331,0.960530007,1.162781182,1331,[[3.74915180455534E-33;6.4709325853268E-17;1.05681839149846][6.12303176910889E-17;5.93363107797285E-22;9.80197662128149][...]],0.807238402,16,84299973,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 50",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1}",300032,06:13.2,5864,1,3,3,4.09E-10,1331,0.518842839,0.481460243,1331,[[1;0;0][6.12303153729699E-17;4.55253822205399E-20;2.70199587327155][6.12303077318E-17;4.69263051728876;0.00267647366071968][...]],0.291637136,16,848260933,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 49",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0}",300032,06:14.3,5864,0,3,3,4.55E-13,1331,0.579413662,0.872440719,1331,[[6.12303167799665E-17;3.58295377992009E-20;3.39193441540675][6.12303176902509E-17;5.18671880965644;2.76175487515156E-05][...]],0.22128485,16,438296967,32
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 51",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",300000,16:09.8,10982,0,10,8,2.29242306,1331,∞,0.736051609,1328.707577,[[1;0;0][6.10311771038577E-17;3.35340838235792;0.271118680222378][5.63286785233151E-17;3.41412027645672E-17;1.4222639869608][...]],0.572170435,5,1646301823,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 50",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",300000,16:14.2,10982,1,10,8,1.035514574,1331,1.566961242,0.415112765,1329.964485,[[1;0;0][6.12303176911189E-17;0;1.00872127679796][3.74915180455534E-33;6.17643242401304E-17;1.00872127679796][...]],0.624674063,5,955720302,10
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 50",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0}",300032,06:11.8,5864,0,3,3,3.72E-09,1331,1.091328276,1.620794747,1331,[[1;0;0][6.12303176911189E-17;9.42176697608634;0][6.03450245283848E-17;5.1692108225857E-17;4.98262198001438][...]],0.457223293,16,1855234675,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 51",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1}",300032,06:12.9,5864,1,3,3,7.13E-07,1331,0.766511048,1.206653703,1330.999999,[[6.1220678740355E-17;5.69483670817796E-18;5.24185777304021][6.11998257547744E-17;5.1953148947628;0.164020590689912][...]],0.282519692,16,2082714155,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 51",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0}",300032,06:09.9,5864,0,3,3,3.53E-09,1331,0.519630093,0.499331303,1331,[[6.11476957831696E-17;3.9453734925349;0.205166918477391][3.74915180455534E-33;6.58564586553272E-17;1.07555311059376][...]],0.371038465,16,728263958,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 52",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1}",300032,06:10.5,5864,1,3,3,8.81E-08,1331,0.631553104,0.866377409,1331,[[1;0;0][6.11506426797913E-17;4.49268509411098;0.229415601178264][6.12303176911189E-17;2.68315332209769E-74;4.84179368641711][...]],0.251860456,16,303743096,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 52",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0}",300032,06:11.2,5864,0,3,3,6.09E-07,1331,0.567007634,0.653161168,1330.999999,[[6.12303176911189E-17;3.98587167531174;1.13060134074417E-44][6.12303176645698E-17;8.30755605342888E-21;4.60734007344564][...]],0.324551474,16,1126313067,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 53",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1}",300032,06:12.5,5864,1,3,3,1.80E-09,1331,0.680151936,1.295910832,1331,[[0.789810670450196;0;2.06781857287057][6.12303176168481E-17;1.31614297720085E-20;4.36411078735578][6.12303176911188E-17;6.83479818878804;3.98514348757943E-07][...]],0.273026751,16,1180100388,32
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 52",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",300000,16:19.4,10982,0,10,8,1.995318536,1331,1.72049072,1.644160068,1329.004681,[[1;0;0][6.12303176333751E-17;4.21084652260668;0.000182874737944955][6.12303176911149E-17;8.87980551495142E-23;4.02400552881002][...]],0.501100462,5,30744413,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 51",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",300000,16:17.5,10982,1,10,8,1.456887051,1331,1.668379829,1.169491907,1329.543113,[[1;0;0][6.12303176911139E-17;9.79131855529898E-23;3.97284182820714][3.74915180455534E-33;6.21514309088918E-17;1.01504341725646][...]],0.695471199,5,1967555745,10
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 53",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0}",300032,06:11.6,5864,0,3,3,1.31E-10,1331,0.914976285,1.165058816,1331,[[1;0;0][6.12303085684976E-17;6.71219669302913;0.00366400693358877][6.12303176911189E-17;0;4.17324356783908][...]],0.339528955,16,1222895626,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 54",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1}",300032,06:12.8,5864,1,3,3,2.27E-13,1331,0.778764231,0.885125088,1331,[[6.12303176911155E-17;1.2391959625713E-22;6.07487567993892][1;0;0][6.12303176911189E-17;2.83564282950347;0][...]],0.338491865,16,1255007866,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 54",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0}",300032,06:13.5,5864,0,3,3,5.68E-09,1331,0.437751218,0.276815472,1331,[[6.12303176911189E-17;2.76289422918262;0][1;0;0][6.12303176911189E-17;5.25891171343438E-99;1.41535350170173][...]],0.175704368,16,1405619569,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 55",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1}",300032,06:13.6,5864,1,3,3,3.23E-06,1331,0.771626993,0.953945828,1330.999997,[[1;0;0][3.74915180455534E-33;6.42527477495116E-17;1.04936165893569][6.12303176911189E-17;5.43790624309502E-24;5.736613743878][...]],0.39454618,16,1445903341,32
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 53",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",300000,16:27.0,10982,0,10,8,2.967196275,1331,2.574614016,1.279063947,1328.032804,[[1;0;0][6.12303176881298E-17;4.02075039594424;3.97290613305058E-05][3.74915180455534E-33;6.21141263155627E-17;1.01443416689265][...]],0.533548764,5,1582288380,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 52",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",300000,16:25.6,10982,1,10,8,1.040430459,1331,7.739103014,1.724885731,1329.95957,[[1;0;0][6.12302413636907E-17;8.46649831606236E-19;8.75720250714192][3.74915180455534E-33;6.23266019879938E-17;1.01790427255996][...]],1.89985446,5,1785763090,10
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 55",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0}",300032,06:15.1,5864,0,3,3,0.000307072,1331,0.570897939,0.795425265,1330.999693,[[3.74915180455534E-33;6.30146300762506E-17;1.02914099505629][1;0;0][6.12303176911189E-17;0;4.80247851070276][...]],0.408995845,16,1891479075,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 56",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1}",300032,06:15.6,5864,1,3,3,6.37E-10,1331,0.667577772,0.751364309,1331,[[1;0;0][3.74915180455534E-33;6.45516355863137E-17;1.05424302895094][6.05542321141648E-17;4.52387556405272E-17;4.98555736144501][...]],0.366067569,16,1210126965,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 56",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0}",300032,06:13.5,5864,0,3,3,4.23E-10,1331,0.367841713,0.315546405,1331,[[6.12303176911189E-17;1.3644672632665;0][6.12302954383474E-17;1.8415826308909E-19;3.52777551103176][3.74915180455534E-33;6.52143064575648E-17;1.06506562298996][...]],0.28555204,16,996358869,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 57",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1}",300032,06:14.6,5864,1,3,3,3.12E-11,1331,0.93163304,1.273470259,1331,[[6.12303176911189E-17;8.50233565718068;0][6.12303154957835E-17;8.35244135470364E-20;5.09406810471207][...]],0.458321142,16,40251491,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 57",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0}",300032,06:15.7,5864,0,3,3,0.000604785,1331,0.54749515,0.407090872,1330.999395,[[6.1113074076483E-17;1.26400258812138E-17;3.33743722238843][1;0;0][3.74915180455534E-33;6.45294181500377E-17;1.05388017869777][...]],0.273236423,16,1678465365,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 58",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1}",300032,06:17.1,5864,1,3,3,1.79E-06,1331,0.910134464,1.306322916,1330.999998,[[1;0;0][3.74915180455534E-33;6.46628301046055E-17;1.05605903321949][6.11876353470783E-17;1.13992729780913E-17;4.98689777802323][...]],0.330714111,16,226785015,32
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 54",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",300000,16:28.6,10982,0,10,8,2.954395053,1331,2.963648457,1.442534503,1328.045605,[[1;0;0][5.9597940338991E-17;4.13804832530199E-17;2.94646319554344][6.12303176911097E-17;4.04091465737027;2.20956920804436E-06][...]],0.711646057,5,853170984,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 53",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",300000,16:30.2,10982,1,10,8,0.831603351,1331,3.243358308,1.072746087,1330.168397,[[1;0;0][6.12303176911189E-17;4.78882038825656;6.16838400821237E-08][6.123031767627E-17;2.65652386552175E-21;1.97001018453013][...]],0.612918814,5,1054834917,10
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 58",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0}",300032,06:15.2,5864,0,3,3,5.41E-05,1331,0.696239726,0.807619056,1330.999946,[[6.11036282689745E-17;3.93870372620182E-17;10.0048283987114][6.12303176911189E-17;2.1453294955642;0][...]],0.989408496,16,2048912909,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 59",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1}",300032,06:15.8,5864,1,3,3,2.92E-06,1331,0.662403818,0.942991835,1330.999997,[[1;0;0][3.74915180455534E-33;6.49952801382667E-17;1.06148853360749][6.12302959612831E-17;2.83748020255794E-19;5.50055362383681][...]],0.309569142,16,2041385153,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 59",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0}",300032,06:14.9,5864,0,3,3,4.89E-11,1331,0.469888021,0.678377247,1331,[[6.12303176911189E-17;1.33389071721028E-40;3.9191892233908][3.74915180455534E-33;6.708174746586E-17;1.09556425632575][...]],0.202009604,16,730608382,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 60",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1}",300032,06:14.1,5864,1,3,3,2.71E-10,1331,0.724969076,1.183721937,1331,[[1;0;0][6.12303176868124E-17;3.7896603378638E-21;5.21847475320936][6.12303176911189E-17;6.74847225096886;2.9944073605448E-169][...]],0.389240484,16,858079789,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 60",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0}",300032,06:20.5,5864,0,3,3,6.01E-05,1331,0.544714262,0.758749532,1330.99994,[[1;0;0][6.10917747316722E-17;4.28873575787592;0.288995598344446][6.12303176911189E-17;0;3.08515667914723][...]],0.216546046,16,1507821447,32
