,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 1",50,4,5774,931.8,00:00.0,2134.773362,4557257.306,4,1.40E+01,3856.916667,4,4.833333333,3559.769231,8.82E+01,-1230.270588,0.363130689
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 1",50,35,6135,809,00:00.0,1987.851881,3951555.102,35,85,3176.666667,35,39.16666667,2892.692308,70.4057623,-915.9411765,0.266567563
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 1",50,21,6471,804,00:00.0,1706.847255,2913327.551,21,471,2621,21,33.5,2340.230769,57.83193277,-612.8823529,0.243952365
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 1",50,55,6955,1015,00:00.0,1416.232426,2005714.286,55,955,2755,55,80,2131.923077,51.45738295,-245.7058824,0.28053384
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 1",40,182,10982,3999.5,00:00.0,3738.358854,13975326.92,482,7.38E+03,8822,182,182,8822,300.2532833,-1855.439024,0.881609287
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 2",50,4,5784,361.2,00:00.0,1384.00637,1915473.633,4,3.40E+01,1471.5,4,4,1357.846154,2.81E+01,-327.2235294,0.087591507
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 2",50,35,6135,707,00:00.0,1829.914685,3348587.755,35,135,2710,35,35,2458.076923,5.65E+01,-676.5294118,0.202368016
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 2",50,21,6471,1128,00:00.0,2028.345309,4114184.694,21,1071,3771,21,33.5,3494.076923,84.00720288,-930.1764706,0.364508953
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 2",50,55,6955,967,00:00.0,1658.698777,2751281.633,55,955,3005,55,105,2408.846154,56.96038415,-428.5294118,0.250593444
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 3",50,4,5784,476.1,00:00.0,1581.153057,2500044.99,4,2.90E+01,1954,4,4,1795.923077,4.43E+01,-610.2352941,0.167111647
