,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 1",5786,1210.428238,1331,1330.928774,00:00.0,2.654258622,7.045088831,1330.999997,1.33E+03,1331,1330.714997,1330.743704,1330.99437,6.42E-05,1330.742946,0.001634711
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 1",6137,1210.000003,1331,1330.407764,58:53.7,4.650578071,21.62787639,1330.242689,1330.999823,1330.999984,1329.07073,1329.746676,1330.651638,0.000212808,1329.754869,0.006572995
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 1",6473,1220.367742,1331,1330.239307,51:53.1,2.812827955,7.912001105,1329.903219,1330.948353,1330.993081,1329.170311,1329.795831,1330.429207,0.000139338,1329.788411,0.008569337
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 1",6957,1210.598346,1331,1329.982953,18:25.1,3.898492693,15.19824528,1329.730526,1330.828849,1330.9652,1328.485036,1329.009946,1330.364031,0.000276936,1329.01977,0.020355883
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 1",10984,1210,1331,1327.125269,04:13.5,13.4042724,179.6745187,1327.933542,1.33E+03,1330.75662,1319.485102,1321.144288,1329.241683,0.001087229,1321.154749,0.066150799
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 2",5786,1210.000064,1331,1330.93029,00:00.0,2.755424852,7.592366113,1330.999998,1.33E+03,1331,1330.721066,1330.745991,1330.993325,6.45E-05,1330.743651,0.001530144
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 2",6137,1210.033616,1331,1330.536105,14:40.8,1.659707111,2.754627694,1330.190305,1330.999888,1330.99999,1329.657311,1330.392521,1330.528143,3.61E-05,1330.425322,0.001485844
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 2",6473,1210.001713,1331,1330.130306,28:15.7,3.789973034,14.3638956,1329.92246,1330.970221,1330.996478,1328.56771,1329.098043,1330.484147,0.000298918,1329.163007,0.021723478
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 2",6957,1236.327415,1331,1330.083514,53:04.6,2.192894251,4.808785194,1329.831823,1330.843737,1330.969688,1328.75256,1329.20195,1330.365821,0.000221756,1329.312245,0.04125173
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 3",5786,1210,1331,1330.95007,00:00.0,2.250281482,5.063766748,1330.999997,1.33E+03,1331,1330.800213,1330.821456,1330.991642,4.37E-05,1330.823686,0.001051997
