,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 21",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,01:01.9,5784,5,5,0.067386128,1324.462054,1.311634858,3.497803926,1324.394668,[[0.715850128752142;0.708148576248492;0][4.33601975400087E-17;4.38320291907166E-17;1.00693773644881][4.38317418259681E-17;4.33601635982145E-17;1.0069340101225][...]],0.565953248,10,874462438,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 21",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,01:05.0,6135,5,5,0.105004222,1324.525194,1.164577064,1.9225025,1324.420189,[[0.708333091366544;0.707254000725347;0][4.33052473516676E-17;4.3370294290972E-17;1.00095643512033][4.33701365653395E-17;4.33052284390474E-17;1.00095439404559][...]],0.626330869,10,1901934391,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 21",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,01:05.4,6471,5,5,0.240019119,1324.507794,0.694252967,1.319482212,1324.267775,[[4.33298625533633E-17;4.35762701589477E-17;1.00362312483971][0.711741432562651;0.707661281874068;0][4.35743372059244E-17;4.33296323245129E-17;1.00359808828074][...]],0.588899581,10,1420986410,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 21",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,01:06.5,6955,5,5,0.411601548,1324.506695,0.922558072,1.13710399,1324.095093,[[0.670400345290771;0.763485826742891;0.45853352452091][4.33391769755939E-17;4.36545745975443E-17;1.00463754326121][...]],2.188987489,10,762225818,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 22",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,01:04.6,5784,5,5,0.131397026,1324.41457,0.783866577,2.279788694,1324.283173,[[4.34071232937351E-17;4.42319177936323E-17;1.01212776505338][4.35191865291443E-17;4.41253924112713E-17;1.01217110801902][...]],0.513016237,10,905148384,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 22",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,01:09.2,6135,5,5,0.139286944,1324.519284,0.474895775,1.054211239,1324.379997,[[0.710260104851794;0.707484611238516;0][0.708022453098956;0.709726961244219;0][4.3489451922117E-17;4.3319507514725E-17;1.00249882454176][...]],0.340147546,10,2055257224,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 22",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,01:10.1,6471,5,5,0.090534352,1324.485497,0.771903724,1.757557338,1324.394963,[[4.36091214014721E-17;4.33337731548861E-17;1.00404866319129][0.712142735626325;0.707709053261791;0][4.3333315738441E-17;4.36052770264648E-17;1.00399886189618][...]],0.575859211,10,1044647711,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 22",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,01:11.2,6955,5,5,0.178293187,1324.506084,0.444021222,1.016562953,1324.327791,[[4.33188307752336E-17;4.34837865985465E-17;1.00242547342823][0.710167829062504;0.70747358862798;0][4.3482965057878E-17;4.33187326293925E-17;1.00241483678025][...]],0.583890459,10,530145389,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 23",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,01:06.1,5784,5,5,0.146199622,1324.470006,0.72992178,1.908633048,1324.323806,[[4.33549008706197E-17;4.3787218034186E-17;1.006356716858][0.715123659239902;0.7080627073285;0][4.3560478866064E-17;4.3582788718096E-17;1.00635763109579][...]],0.465846876,10,234495919,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 23",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,01:07.7,6135,5,5,0.14115436,1324.540841,0.791114818,2.084707483,1324.399687,[[0.709522954569723;0.707396499657083;0][4.34429700202494E-17;4.33139514102447E-17;1.00189706026148][4.34033900555453E-17;4.33551004515115E-17;1.00191422777344][...]],0.703328721,10,1845814451,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 23",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,01:10.3,6471,5,5,0.263602867,1324.506413,0.60666237,1.327870221,1324.24281,[[4.34767602301584E-17;4.33179912808717E-17;1.00233450291701][4.33179829065632E-17;4.34766901473125E-17;1.00233359556755][...]],0.355221127,10,451666341,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 23",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,01:11.4,6955,5,5,0.084350184,1324.450165,0.404872672,1.050884163,1324.365815,[[0.716569996428662;0.708233542028651;0][4.38657235178861E-17;4.33641751065455E-17;1.00737469154272][4.33639185907692E-17;4.38635494322128E-17;1.00734649557999][...]],0.26715793,10,1252367137,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 24",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,01:06.0,5784,5,5,0.068592788,1324.49506,0.80581795,2.686330129,1324.426467,[[4.36499836487469E-17;4.33386315328245E-17;1.00457805869895][0.713565759692201;0.707878142392325;0][4.33388599484434E-17;4.36519061212597E-17;1.00460296787649][...]],0.401267265,10,222090488,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 24",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,01:08.4,6135,5,5,0.188755258,1324.547918,0.594421535,1.105580031,1324.359163,[[4.33102917738233E-17;4.34123923430423E-17;1.00150126331299][4.34121440216515E-17;4.33102620389294E-17;1.00149804926588][...]],0.688604369,10,388366646,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 24",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,01:09.4,6471,5,5,0.234026938,1324.491425,0.705759737,1.589879772,1324.257398,[[4.33245845419042E-17;4.35319877289463E-17;1.00304961100663][0.711093671675229;0.707584091041532;0][4.35407287565666E-17;4.33256269876575E-17;1.00316280949368][...]],0.56487134,10,1331332745,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 24",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,01:11.3,6955,5,5,0.523364973,1324.46318,0.472029842,0.882568138,1323.939815,[[1.07187303825295;0.698096472899112;0.463418401317658][0.717068055759377;0.708292256395062;0][4.39151306516072E-17;4.33699996502379E-17;1.00801553125914][...]],0.357448264,10,122652197,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 25",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,01:04.7,5784,5,5,0.172393378,1324.458552,0.848691966,2.180539718,1324.286159,[[4.35709063476064E-17;4.33292236483811E-17;1.00355365064487][0.710620832689394;0.708749934870135;0][4.34316828940391E-17;4.3482627869589E-17;1.00371370586012][...]],0.556692387,10,386961957,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 25",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,01:07.9,6135,5,5,0.263946464,1324.563111,0.975516371,1.761688682,1324.299165,[[4.33836442807538E-17;4.33068477734152E-17;1.00112919808734][4.33711890506321E-17;4.33240249508405E-17;1.00118348393499][...]],0.500584674,10,534214866,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 25",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,01:09.2,6471,5,5,0.045962153,1324.495308,0.364733743,0.863608368,1324.449346,[[4.33264122106523E-17;4.3547314067938E-17;1.00324809454228][4.35461449680601E-17;4.33262727699775E-17;1.00323295299145][...]],0.21903376,10,1738612759,20
