,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 68",6473,705.5083567,1324.481722,1321.189936,1323.959323,23.23191168,539.7217202,1323.427754,1324.171102,1324.28776,1312.668335,1312.705245,1324.247246,0.002566747,1312.883942,0.042627836
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 69",6473,967.9935949,1324.504306,1322.504962,1323.939737,8.83558619,78.06758332,1323.105072,1324.225694,1324.321244,1317.963026,1317.979666,1324.264235,0.001340444,1318.167284,0.080375529
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 71",5985,953.368044,1324.077597,1322.301397,1323.152616,10.86699739,118.0916323,1322.933543,1323.412367,1323.66857,1319.194735,1319.276796,1323.439868,0.001015315,1319.263575,0.026061657
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 70",5985,990.4063538,1324.099694,1322.096095,1323.220293,10.95737275,120.0640177,1323.029247,1323.472463,1323.683896,1318.239033,1318.276812,1323.466798,0.00124493,1318.371264,0.038538665
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 69",6473,893.8185585,1324.533338,1322.568946,1323.992997,9.827771771,96.58509798,1323.233642,1324.269518,1324.35472,1318.085098,1318.108801,1324.274649,0.001333062,1318.255158,0.064252136
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 70",6473,882.6116583,1324.513804,1322.372931,1323.975256,8.960078204,80.28300142,1323.151896,1324.232464,1324.324244,1317.406866,1317.431141,1324.276645,0.001464009,1317.635398,0.093231128
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 72",5985,708.0132229,1324.090399,1322.156965,1323.191777,16.1424139,260.5775266,1322.981442,1323.470629,1323.703233,1318.519587,1318.553958,1323.475654,0.001183645,1318.615497,0.01605188
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 71",5985,691.4930781,1324.253157,1322.038778,1323.184657,16.06387291,258.0480129,1322.989743,1323.503262,1323.761915,1317.977603,1318.026648,1323.533733,0.001334545,1318.045819,0.020605609
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 70",6473,1030.264142,1324.512298,1322.415519,1324.082555,7.926587038,62.83078207,1323.352868,1324.275589,1324.352183,1317.307621,1317.330617,1324.260894,0.001485101,1317.609733,0.122584727
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 71",6473,990.1249783,1324.510372,1322.263188,1323.990686,8.547385887,73.0578055,1323.447328,1324.239054,1324.332982,1316.830304,1316.847198,1324.26494,0.001594161,1317.104482,0.121477244
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 71",6473,1000.741431,1324.483086,1322.330611,1323.866361,8.958064567,80.24692078,1322.800212,1324.253307,1324.337806,1317.535054,1317.554291,1324.280142,0.001457338,1317.614665,0.092424993
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 72",6473,1058.685598,1324.487797,1322.192544,1323.778011,8.212836326,67.45068051,1322.884144,1324.200917,1324.304003,1317.030085,1317.045272,1324.234206,0.00155245,1317.168815,0.124780324
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 73",5985,817.7282375,1324.076757,1322.130311,1323.206312,13.46075012,181.1917939,1323.009796,1323.471592,1323.689634,1318.400996,1318.495042,1323.462001,0.001204217,1318.527293,0.023894106
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 72",5985,915.9843585,1324.028757,1321.822256,1323.21059,13.41709251,180.0183714,1323.038013,1323.498657,1323.690512,1317.147558,1317.197807,1323.39482,0.001492988,1317.355236,0.036967099
