,AgeGap,AgeLimits,Algorithm Name,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 68",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0}",01:15.9,6471,0,5,5,0.083273865,1324.481722,0.660175985,0.00658744,1324.398448,[[4.3337627555032E-17;4.36415350454757E-17;1.00446859397899][4.36350186992846E-17;4.33368530050625E-17;1.00438416744176][...]],0.107617689,10,1247075222,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 69",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1}",01:16.0,6471,1,5,5,0.777103476,1324.504306,0.812886723,0.127841733,1323.727203,[[4.33278388739227E-17;4.35592839486873E-17;1.00340311844494][4.35592497003809E-17;4.33278347925613E-17;1.00340267487565][...]],0.124174963,10,644887826,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 71",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",01:47.0,5983,0,10,10,1.085160306,1324.367774,∞,0.136075202,1323.282614,[[4.39475622208614E-17;4.33854480877433E-17;1.00856969697653][0.71789060229282;0.708389095632831;0][4.33749359333854E-17;4.39570654413314E-17;1.00855955995164][...]],0.273195325,5,96206950,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 70",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",01:47.1,5983,1,10,10,0.426575073,1324.367774,1.477466762,0.006758133,1323.941199,[[4.35432549235361E-17;4.35432549235361E-17;1.00570214208876][4.37480980112809E-17;4.33502705571304E-17;1.00584958247607][...]],0.321021136,5,329875496,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 69",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0}",01:18.2,6471,0,5,5,0.747871572,1324.533338,0.648626931,0.081093086,1323.785467,[[0.935440247126649;0.699506058544765;0.363154286800365][0.642838908363358;0.80849698088853;0.547800203235278][...]],0.115247832,10,1013756087,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 70",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1}",01:18.5,6471,1,5,5,0.212170928,1324.513804,0.706207679,0.017885208,1324.301633,[[4.35876418396063E-17;4.33312167094879E-17;1.00377042079984][4.33311339688395E-17;4.35869468943996E-17;1.00376141904776][...]],0.093299919,10,1730012370,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 72",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",01:50.6,5983,0,10,10,1.160534204,1324.367774,∞,0.237212548,1323.20724,[[1.48548051441909;0.679337374810302;0.827496523471045][4.33668764682219E-17;4.38886281266941E-17;1.00767176046221][...]],0.344475805,5,1057949848,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 71",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",01:51.0,5983,1,10,10,0.784902881,1324.367774,1.565183998,0.205053784,1323.582871,[[1.41601603784232;0.660753509979433;0.891287263327141][0.715046838981882;0.708053619863443;0][4.37827150242155E-17;4.33543681875234E-17;1.0062983373884][...]],0.296057357,5,2071038745,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 70",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0}",01:19.0,6471,0,5,5,0.109318207,1324.512298,0.805045933,0.003670212,1324.40298,[[4.3504517410876E-17;4.3321306522014E-17;1.00269389219532][4.33589475525733E-17;4.34755297601869E-17;1.00279249565319][...]],0.093772503,10,907371227,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 71",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1}",01:19.1,6471,1,5,5,0.141492506,1324.510372,0.78600504,0.021906289,1324.36888,[[4.3330385029869E-17;4.3580657214628E-17;1.00367994894234][0.711757092106985;0.707663146715722;0][4.3580661270457E-17;4.33303855128634E-17;1.00368000147669][...]],0.124846397,10,2107608439,20
