,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 21",50,4,5779,1162.9,00:00.0,2331.485094,5435822.745,9,14,4819,4.833333333,4.833333333,4448.230769,110.9543818,-1555.482353,0.481263099
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 21",50,35,6135,1324,00:00.0,2432.062407,5914927.551,35,335,5168.333333,35,39.16666667,4773.461538,119.1236495,-1594.529412,0.509806637
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 21",50,21,6471,1602,00:00.0,2489.998156,6200090.816,171,1221,5596,46,46,5259.461538,132.2665066,-1638.529412,0.599598655
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 21",50,55,6955,1819,00:00.0,2399.724474,5758677.551,55,2155,5355,55,105,5108.846154,130.6890756,-1382.882353,0.630252744
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 22",50,4,5784,1166.4,00:00.0,2332.246933,5439375.755,9,19,4823.166667,4.833333333,4.833333333,4453.615385,111.1030012,-1555.623529,0.482238028
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 22",50,35,6135,1327,00:00.0,2431.077698,5910138.776,35,335,5168.333333,35,35,4796.538462,120.0192077,-1613.470588,0.517920101
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 22",50,21,6471,1533,00:00.0,2514.88548,6324648.98,21,921,5546,21,21,5190.230769,132.057623,-1702.411765,0.585935025
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 22",50,55,6955,1753,00:00.0,2661.70806,7084689.796,55,1255,6005,55,80,5639.615385,141.8247299,-1721.705882,0.603312086
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 23",50,4,5784,1167.4,00:00.0,2331.751212,5437063.714,4,29,4824.833333,4,4.416666667,4455.153846,111.2158463,-1557.388235,0.483423607
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 23",50,35,6135,1355,00:00.0,2417.179162,5842755.102,85,385,5176.666667,43.33333333,43.33333333,4808.076923,119.8127251,-1580.411765,0.522092126
