,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 68",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0}",300000,01:07.7,6542,0,3,3,0.139140154,1324.776106,0.322550639,0.001881013,1324.636966,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.460328708615896;0.460328708615896;0.759075068783084][...]],0.044617717,16,1407801178,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 69",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",300000,01:08.0,6542,1,3,3,0.0618064,1324.782946,0.224490441,0.001532857,1324.721139,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.544497399055896;0.544497399055896;0.638000912885498][...]],0.041479342,16,1775796634,32
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 71",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",300030,01:54.8,5983,0,10,10,0.304814098,1324.507183,1.233839442,0.001290528,1324.202369,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.434170839446414;0.434170839446414;0.789298019982815][...]],0.167308582,5,1054858432,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 70",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",300030,01:55.3,5983,1,10,10,0.234337995,1324.539871,1.164801698,0.001047535,1324.305533,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.284221091969791;0.28422109196979;0.915661914550889][...]],0.093161648,5,4199566,10
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 70",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",300000,01:07.5,6542,1,3,3,0.048793441,1324.785527,0.231650245,0.001581954,1324.736733,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.489399030536523;0.489399030536523;0.721787487990629][...]],0.024324083,16,1920362904,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 69",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0}",300000,01:07.9,6542,0,3,3,0.097665117,1324.782496,0.306627652,0.001305789,1324.684831,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.385237084229011;0.385237084229011;0.838561135439426][...]],0.055445901,16,16810781,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 71",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",300000,01:08.0,6542,1,3,3,0.101883121,1324.786914,0.330621385,0.001373649,1324.68503,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.493317567223624;0.493317567223624;0.716432520016456][...]],0.028807915,16,1158803079,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 70",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0}",300000,01:08.3,6542,0,3,3,0.127212539,1324.765719,0.319704756,0.001420151,1324.638507,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.330721291473371;0.330721291473371;0.883881697249339][...]],0.056836916,16,1637373989,32
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 72",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",300030,01:54.7,5983,0,10,10,0.322280915,1324.506271,1.197245429,0.00136595,1324.18399,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.566534396513676;0.566534396513676;0.598395818111866][...]],0.160794806,5,1342202516,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 71",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",300030,01:54.5,5983,1,10,10,0.173307624,1324.452685,1.193045294,0.001168947,1324.279378,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.235953118003135;0.235953118003135;0.942683537678047][...]],0.098198319,5,1431701955,10
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 72",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",300000,01:07.3,6542,1,3,3,0.053548189,1324.766713,0.228512936,0.001680248,1324.713165,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.235669701911727;0.235669701911727;0.942825319559077][...]],0.037684117,16,1787192688,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 71",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0}",300000,01:07.7,6542,0,3,3,0.086912106,1324.766309,0.305534847,0.001221947,1324.679397,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.289041869331047;0.289041869331047;0.912638808920171][...]],0.057002545,16,312210327,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 73",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",300000,01:05.9,6542,1,3,3,0.049896345,1324.785557,0.211531855,0.001450154,1324.735661,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.613422031434339;0.613422031434339;0.497420167164479][...]],0.025388474,16,1603219347,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 72",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0}",300000,01:06.4,6542,0,3,3,0.024267802,1324.765634,0.201822309,0.001666113,1324.741366,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.215083210952661;0.215083210952661;0.952616620016986][...]],0.027373688,16,1583611319,32
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 72",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",300030,01:53.7,5983,1,10,10,0.225164154,1324.512173,1.212587008,0.001906201,1324.287009,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.247560833714952;0.247560833714952;0.936710877069716][...]],0.058401962,5,327638890,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 73",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",300030,01:54.4,5983,0,10,10,0.148251579,1324.367774,1.260832446,0.000969451,1324.219523,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.394094242939689;0.394094242939689;0.830288778295592][...]],0.111313011,5,1089298379,10
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 74",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",300000,01:07.6,6542,1,3,3,0.031364494,1324.763664,0.233677841,0.001451431,1324.7323,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.693848033409674;0.693848033409674;0.192742867746269][...]],0.030563864,16,870066567,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 73",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0}",300000,01:07.5,6542,0,3,3,0.081004835,1324.767636,0.322077978,0.002201853,1324.686631,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.373831785679862;0.373831785679862;0.848822473801685][...]],0.03299248,16,1111632401,32
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 73",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",300030,01:53.4,5983,1,10,10,0.233880237,1324.484504,1.240100048,0.000955724,1324.250624,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.419339921043193;0.419339921043192;0.805175795239138][...]],0.084567831,5,218941264,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 74",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",300030,01:53.4,5983,0,10,10,0.26688869,1324.534944,1.244891323,0.001988041,1324.268055,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.272043590085963;0.272043590085963;0.923030102535275][...]],0.006873804,5,418245294,10
