,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 30",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 31",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 29",12,1076,9026,3751,1976,2897.922453,8397954.545,1976,5576,7876,1376,4026,2876,-157.3426573,4616.384615,0.038323291
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 28",15,1226,9026,4156,2276,2770.430601,7675285.714,2276,5876,9026,1926,9026,2463.5,-471.9642857,7459.75,0.580435166
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 31",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 32",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 32",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 33",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 30",16,1226,9026,4544.75,3626,2532.513574,6413625,2876,5426,8126,1901,7676,4076,-233.3823529,6295.117647,0.192495297
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 29",10,1526,9026,5576,6026,3144.041984,9885000,1526,9026,9026,1526,1526,7026,441.8181818,3587.818182,0.181018071
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 33",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 34",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 31",14,926,9026,5040.285714,4526,2989.431935,8936703.297,3626,9026,9026,1226,6026,4301,-114.7252747,5786,0.025773828
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 30",13,926,9026,4364.461538,4376,2910.194284,8469230.769,2576,4376,9026,1476,7476,3476,-452.4725275,7079.296703,0.366632201
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 34",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 35",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 35",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 36",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 32",14,1076,9026,4033.142857,3626,2925.475447,8558406.593,1076,6176,8076,1076,5426,3626,-238.021978,5580.285714,0.115845523
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 31",14,476,9026,3668.857143,3626,2740.357721,7509560.44,776,3626,7826,576,5426,3288.5,-232.7472527,5181.714286,0.126238742
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 36",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 37",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 37",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 38",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 33",12,476,9026,4788.5,4526,3488.104786,12166875,1826,9026,9026,1076,6626,1976,-558.5664336,7860.615385,0.333360373
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 32",15,476,9026,4686,3776,3138.994379,9853285.714,1976,9026,9026,876,7276,2838.5,-422.1428571,7641,0.361716075
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 38",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
