,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 30",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",300010,01:21.0,5784,1,5,5,12.6953587,1.089845219,0.153145122,991.1904956,[[0;0;6.06094997862381][0.859803860871001;0.859470637398905;2.67496529342535][1;0.0042915832132669;5.05682867700945][...]],0.290226219,10,1706691187,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 31",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",300010,01:21.6,5784,0,5,5,18.69575584,1.189266485,0.128868723,985.1900984,[[0;0;6.0963484919156][0.862129303357538;0.85626288673258;2.71103753651425][0.206065236761569;0.881759820047322;4.03531920642021][...]],0.181243582,10,305819468,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 29",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",300015,02:15.1,9026,1,10,9,8.279452272,0.985909034,0.15015608,995.606402,[[0;0.854727589721492;5.17110097588712][0.284615542058076;0.964264158123773;4.92719007590284][0;0;6.00010741388289][...]],0.281245621,5,970312358,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 28",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",300015,02:16.0,9026,0,10,9,4.010326057,0.687798454,0.112157823,999.8755282,[[0;0;6.00040119200321][0.859773426647948;0.859727560776255;2.61441957773708][0;1;5.01996290745722][0.954607637991738;0.712617620751511;3.65685591437157][...]],0.30351335,5,979023941,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 31",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",300010,01:24.5,5784,1,5,5,25.83072884,1.242495592,0.137140332,978.0551254,[[0.681606905054856;1;4.33217885769997][0.911747916970685;0.618241693686227;4.17805976201471][0;0;6.10946967067907][...]],0.069329978,10,865737128,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 32",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",300010,01:24.9,5784,0,5,5,32.9745323,1.258134636,0.118655039,970.911322,[[0;0;6.19903089128485][0.859666157960281;0.859527708465001;2.81302672378754][0.876957523452357;0.83324119455595;2.84987809042531][...]],0.222361939,10,1724205077,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 32",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",300010,01:25.6,5784,1,5,5,35.60576567,1.229776701,0.182592767,968.2800886,[[0.859635425148633;0.858451012324256;2.86240480746308][0;0.93778072299574;4.79164293162199][0;0;6.24836074911417][...]],0.186765739,10,817875511,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 33",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",300010,01:26.1,5784,0,5,5,20.12159322,1.189588897,0.081549582,983.7642611,[[0.909413315076137;0.72690142975621;3.41181455136484][0.860808706934399;0.858354882988986;2.73899233427401][...]],0.159257162,10,1619550330,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 30",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",300015,02:21.1,9026,1,10,9,12.19560981,0.626542331,0.089323594,991.6902445,[[0;0.869386911897952;4.76296784733668][0.858604614753155;0.859119107417177;2.61505928583194][0;0;6.00102251568553][...]],0.24864019,5,798623188,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 29",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",300015,02:21.0,9026,0,10,9,3.002094611,1.202022545,0.066469399,1000.88376,[[0.76044114833274;0.937988832078302;4.08770064695238][0.869429190525769;0.856337391466881;2.81377456483558][...]],0.268788688,5,741548946,10
