,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 21",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,01:23.1,5784,5,5,14.9657089,0.81216434,7.481609973,988.9201454,[[0.803337505389196;0.876420498966343;2.84058081916641][0;0;6.0969339397216][0.902046709561183;0.759370480618178;3.13389138275694][...]],0.267374298,10,1134532524,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 21",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,01:26.4,6135,5,5,7.137842832,0.615948456,3.291896304,996.7480114,[[0.85375058070037;0.85772994302592;2.63658797894674][0;0.84659379254967;5.88115241739063][0;0;6.02123782184557][...]],0.199259894,10,884956822,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 21",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,01:27.7,6471,5,5,13.52943902,0.736763688,3.959220843,990.3564153,[[0.891766581785042;0.10929599135489;4.59887759436865][0.861030699648625;0.855598291141389;2.65585265359217][...]],0.252538327,10,742978341,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 21",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,01:29.0,6955,5,5,16.30533076,0.609271537,2.830196863,987.5805235,[[1;0.796143042803392;4.25700844302817][0.862526018078742;0.867593350786946;2.64600047587718][0.19599711558946;0.925540707731346;4.28199333398504][...]],0.133858708,10,1235280919,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 22",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,01:14.8,5784,5,5,13.50203781,0.839014848,6.9258948,990.3838165,[[0.872194050171347;0.853884510747296;2.6803386705802][0;0;6.10399669123185][0.873948995668194;0.137859381824345;4.12366156427461][...]],0.156421032,10,1054176616,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 22",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,01:18.5,6135,5,5,12.3500426,0.662644816,3.655704972,991.5358117,[[0.860584131678501;0.852719125792894;2.67525594572263][0;0.771099789520484;4.64559507642304][0;0;6.05901259015633][...]],0.175797159,10,1588298314,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 22",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,01:19.9,6471,5,5,10.408028,0.559965689,3.161504827,993.4778263,[[0;0;6.01220650045206][0.946557153218237;0.00872115376491741;4.97743807621804][0.714058087113665;0.93287488668135;3.77709877492905][...]],0.21079415,10,186885637,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 22",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,01:22.6,6955,5,5,8.471527797,0.581781381,1.974127857,995.4143265,[[0.93577937420846;0.830782601805675;3.19014521055269][0;0;6.01510925470474][0.80859471998724;0.89837751235775;3.12759000009516][...]],0.159200827,10,1008887656,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 23",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,01:18.3,5784,5,5,33.19198143,0.802829136,6.867405775,970.6938729,[[0;0.869371174862565;4.53512523917048][0;0;6.22435704457627][0.896699818469959;0.0874837118050331;4.43429974351056][...]],0.195378429,10,972493452,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 23",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,01:22.5,6135,5,5,10.79536857,0.632495146,3.474428288,993.0904857,[[0;0;6.03295301357747][0.859412746647285;0.856545074019973;2.6469479190353][0.250053843463301;0.939901042288105;4.17463553387281][...]],0.232262329,10,700273112,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 23",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,01:24.1,6471,5,5,9.588948972,0.605903871,2.717846882,994.2969053,[[0;0.875281798506245;4.76875925694728][0;0;6.02168062964984][0.860391849341674;0.856080940380051;2.63616075980265][...]],0.162528077,10,1027254381,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 23",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,01:24.7,6955,5,5,10.70862699,0.681176407,2.27696022,993.1772273,[[0.906610648414105;0.198853218333119;4.55287111389159][0.861130744056588;0.860556364950506;2.62676380070295][...]],0.109930738,10,1782069330,20
