,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 1",9583,0,7481,3338.552854,2691,2066.464538,4270275.686,1668,5087,6284.999582,989.0964509,1197,6284.499583,0.719993419,-110.935617,0.929112253
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 2",9583,0,7181,3840.598143,4206,1861.633773,3465680.303,2395,5173,6047.049687,1197,1197,5984.499583,0.642018942,764.6853917,0.910278389
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 3",9583,0,6881,3200.151518,3033,1782.084884,3175826.532,1776,4487,5684.999582,1037.274739,1070.361169,5684.499583,0.623312906,213.8593863,0.936316147
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 4",9583,0,9581,4790.999896,4791,2766.517968,7653621.667,2395,7187,8384.999582,1197,1197,8384.499583,0.999999935,0.000208638,1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 5",9583,0,5033,2721.867056,2838,1309.116046,1713784.822,1640,3807,4327.450104,958.993737,1197,3584.499583,0.272825019,1414.76239,0.332413875
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 6",9583,0,7980,4011.964103,4436,2245.88335,5043992.021,2095,5634,6783.981628,937.3340292,937.3340292,6128.239149,0.729268182,518.0402431,0.806988206
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 7",9583,0,8081,3627.53334,3291,2354.462541,5543493.856,1522,5687,6884.999582,879.1478079,1043.555324,6884.499583,0.8365666,-380.4572397,0.966238903
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 8",9583,0,8087,4463.3885,4791,2363.120785,5584339.844,2395,6587,7224.456785,1197,1197,7074.190735,0.826879465,501.8089817,0.937086369
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 9",9583,0,7781,3468.846082,2991,2218.459719,4921563.527,1569,5387,6584.999582,912.4697286,1197,6584.499583,0.780240582,-269.2865448,0.946718844
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 10",9583,0,8981,4284.290097,4191,2635.492608,6945821.285,1795,6587,7784.999582,970.2776618,970.2776618,7784.499583,0.950671896,-270.3789556,0.995874823
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 11",9583,0,6881,3254.05948,3109,1759.604951,3096209.584,1911,4487,5684.999582,1099.391649,1197,5684.499583,0.585480403,449.0228675,0.847347248
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 12",9583,0,6581,3579.479495,3752,1702.495024,2898489.307,2395,4950,5627.757829,1197,1197,5384.499583,0.547786735,955.0332457,0.792352382
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 13",9583,0,9281,4502.614213,4491,2747.720722,7549969.167,2095,6887,8084.999582,943.4718163,943.4718163,8084.499583,0.993009634,-254.8949417,0.999605858
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 14",9583,0,8981,4365.997287,4191,2557.341892,6539997.551,2295,6587,7784.999582,1192.824635,1197,7784.499583,0.922389219,-53.16946247,0.995675677
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 15",9583,0,6581,3074.209746,2948,1677.437971,2813798.147,1750,4187,5384.999582,1023.563674,1197,5384.499583,0.540231001,485.9630215,0.793840245
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 16",9583,0,5337,2516.37817,2400,1353.299672,1831420.003,1495,3598,4319.407098,838.7269311,952.6158664,3427.988731,0.289528296,1129.248106,0.350316926
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 17",9583,0,7694,3654.299489,3222,2033.005128,4133109.852,2368,5299,6497,1196.695616,1197,6408.20576,0.707264274,265.7963536,0.926304003
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 18",9583,0,7181,4122.816654,4653,2046.93537,4189944.411,2395,5851,6457.246764,1197,1197,5984.499583,0.698118752,778.1297114,0.890261093
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 19",9583,0,9581,4790.999896,4791,2766.517968,7653621.667,2395,7187,8384.999582,1197,1197,8384.499583,0.999999935,0.000208638,1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 20",9583,0,8933,4222.1175,4142,2650.688108,7026147.444,1746,6538,7736,868.5703549,1197,6109.207429,0.667939814,1022.017852,0.485986774
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 21",9583,0,7181,3390.519879,3191,1861.095555,3463676.665,1993,4787,5984.999582,1129.524426,1197,5984.499583,0.634819986,349.0973247,0.890493771
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 22",9583,0,9581,4790.999896,4791,2766.517968,7653621.667,2395,7187,8384.999582,1197,1197,8384.499583,0.999999935,0.000208638,1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 23",9583,0,9581,4790.999896,4791,2766.517968,7653621.667,2395,7187,8384.999582,1197,1197,8384.499583,0.999999935,0.000208638,1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 24",9583,0,7481,3867.019931,4456,2071.04603,4289231.66,2095,5392,6323.840919,963.6388309,963.6388309,6284.499583,0.736248825,339.6518107,0.967245624
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 25",9583,0,8582,4164.891161,3791,2375.744534,5644162.091,2395,6187,7385,1197,1197,5880.32596,0.648894822,1056.036069,0.570973809
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 26",9583,0,7610,4173.625378,4701,2103.7705,4425850.315,2395,5899,6608.06096,1196.874739,1196.874739,5915.384391,0.693033333,853.3026818,0.830574459
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 27",9583,0,7481,3364.849421,2883,2056.419835,4228862.539,1685,5087,6284.999582,986.519833,1197,6284.499583,0.713477423,-53.42091203,0.921306104
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 28",9583,0,9581,4790.999896,4791,2766.517968,7653621.667,2395,7187,8384.999582,1197,1197,8384.499583,0.999999935,0.000208638,1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 29",9583,0,6881,3128.117708,2886,1804.632501,3256698.464,1688,4487,5684.999582,988.2947808,1197,5684.499583,0.600077675,253.1455666,0.846261216
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 30",9583,0,8099,4212.193676,4665,2186.918829,4782613.963,2395,5721,6902.120668,1197,1197,6069.516277,0.689506995,908.7656656,0.76081501
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 31",9583,0,8381,3836.559741,3591,2450.560453,6005246.532,1505,5987,7184.999582,948.1507307,979.5469729,7184.499583,0.878213684,-370.9620172,0.98296172
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 32",9583,0,9281,4504.492539,4491,2744.811516,7533990.257,2095,6887,8084.999582,950.9874739,950.9874739,8084.499583,0.991932019,-247.8537662,0.999552965
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 33",9583,0,7678,3676.275905,3322,2016.938236,4068039.848,2346,5283,6481,1195.997495,1197,5774.148998,0.621315247,699.5545548,0.726282988
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 34",9583,0,8381,3807.883961,3591,2482.726655,6163931.643,1463,5987,7184.999582,834.7068894,864.8079332,7184.499583,0.888749709,-450.1158932,0.980772265
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 35",9583,0,8381,3871.997496,3591,2418.559393,5849429.538,1719,5987,7184.999582,1006.478079,1121.34238,7184.499583,0.865262654,-273.4758812,0.979601524
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 36",9583,0,8381,4060.268392,4025,2318.345395,5374725.373,2115,5987,7184.999582,1164.382046,1197,7184.499583,0.835156808,59.03212328,0.99322312
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 37",9583,0,6881,2972.717521,2635,1898.986341,3606149.124,1437,4487,5684.999582,757.206263,937.7098121,5684.499583,0.646325447,-123.827695,0.88659622
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 38",9583,0,9581,4790.999896,4791,2766.517968,7653621.667,2395,7187,8384.999582,1197,1197,8384.499583,0.999999935,0.000208638,1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 39",9583,0,7282,3445.367004,3205,1888.044769,3564713.051,2132,4887,6085,1169.580793,1197,5457.621452,0.560391838,760.529706,0.674257947
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 40",9583,0,7481,3199.901075,2691,2179.025736,4748153.158,1274,5087,6284.999582,732.6492693,845.7682672,6284.499583,0.768706282,-482.9707204,0.95249606
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 41",9583,0,8981,4282.411771,4191,2637.707599,6957501.377,1795,6587,7784.999582,962.7620042,962.7620042,7784.499583,0.951485905,-276.1571997,0.995906265
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 42",9583,0,6744,3765.433789,4130,1782.300122,3176593.724,2395,5166,5825.359499,1197,1197,5543.765025,0.599345877,893.9676928,0.865486738
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 43",9583,0,8081,4141.09903,4361,2162.447619,4676179.703,2395,5687,6884.999582,1197,1197,6884.499583,0.769391495,454.9443771,0.968881396
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 44",9583,0,8981,4327.241156,4191,2589.897108,6707567.031,1985,6587,7784.999582,1126.983299,1142.135699,7784.499583,0.934067475,-147.8761173,0.995539567
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 45",9583,0,6263,2749.134092,2406,1583.00139,2505893.401,1607,3868,5066,976.5139875,1197,3541.427796,0.367885115,986.596508,0.413360416
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 46",9583,0,6281,3422.514035,3550,1618.798769,2620509.456,2352,4748,5394.168685,1196.227975,1197,5084.499583,0.49849636,1034.217976,0.725780504
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 47",9583,0,7781,3546.107899,2991,2159.806636,4664764.703,1774,5387,6584.999582,1037.734447,1197,6584.499583,0.759626658,-93.26341711,0.9467552
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 48",9583,0,7781,4094.328707,4432,2080.789723,4329685.872,2395,5630,6609.654697,1197,1197,6584.499583,0.732631538,584.2910072,0.948815737
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 49",9583,0,8381,3869.242617,3591,2421.107664,5861762.323,1708,5987,7184.999582,1000.222547,1110.319415,7184.499583,0.866183668,-280.6433367,0.979622663
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=8} Run 50",9583,0,7348,3811.891057,3970,1900.35067,3611332.67,2395,5168,6170.210438,1197,1197,4468.472871,0.529881266,1273.22991,0.595054415
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 1",6388,0,3836,1810.320445,1783,985.6903904,971585.5458,984.5,2581.5,3111.811522,563.4702567,798,3038.999374,0.405531454,515.2557472,0.575684575
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 2",6388,0,5936,2793.726832,2743.5,1770.897071,3136076.435,1146.5,4340.5,5138.999374,548.9079524,548.9079524,5138.999374,0.958089198,-265.9310223,0.995501223
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 3",6388,0,6086,2919.987007,2893.5,1803.894952,3254036.996,1296.5,4490.5,5288.999374,603.9486537,603.9486537,5288.999374,0.977318014,-201.0780707,0.998311033
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 4",6388,0,6086,2921.818566,2893.5,1801.366728,3244922.087,1296.5,4490.5,5288.999374,611.2748904,611.2748904,5288.999374,0.975911979,-194.7563392,0.998236795
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 5",6388,0,6386,3193.499843,3193.5,1844.200821,3401076.667,1596.5,4790.5,5588.999374,798,798,5588.999374,0.999999853,0.00031294,1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 6",6388,0,5486,2444.955698,2293.5,1646.102948,2709654.914,885.5,3890.5,4688.999374,481.4558547,503.8234189,4688.999374,0.881682804,-370.6983372,0.975724715
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 7",6388,0,6386,3193.499843,3193.5,1844.200821,3401076.667,1596.5,4790.5,5588.999374,798,798,5588.999374,0.999999853,0.00031294,1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 8",6388,0,6386,3193.499843,3193.5,1844.200821,3401076.667,1596.5,4790.5,5588.999374,798,798,5588.999374,0.999999853,0.00031294,1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 9",6388,0,6386,3193.499843,3193.5,1844.200821,3401076.667,1596.5,4790.5,5588.999374,798,798,5588.999374,0.999999853,0.00031294,1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 10",6388,0,6386,3193.499843,3193.5,1844.200821,3401076.667,1596.5,4790.5,5588.999374,798,798,5588.999374,0.999999853,0.00031294,1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 11",6388,0,6386,3193.499843,3193.5,1844.200821,3401076.667,1596.5,4790.5,5588.999374,798,798,5588.999374,0.999999853,0.00031294,1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 12",6388,0,6086,2917.544928,2893.5,1807.319018,3266402.034,1296.5,4490.5,5288.999374,594.1803381,594.1803381,5288.999374,0.979225403,-209.6113954,0.998417661
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 13",6388,0,6386,3193.499843,3193.5,1844.200821,3401076.667,1596.5,4790.5,5588.999374,798,798,5588.999374,0.999999853,0.00031294,1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 14",6388,0,5936,2782.385254,2743.5,1786.083637,3190094.757,1146.5,4340.5,5138.999374,503.5416406,503.5416406,5138.999374,0.966632373,-304.5552284,0.996174998
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 15",6388,0,6236,3053.925642,3043.5,1827.717544,3340551.422,1446.5,4640.5,5438.999374,689.7031935,689.7031935,5438.999374,0.99088794,-110.4749942,0.999648856
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 16",6388,0,5486,2463.553068,2293.5,1626.051124,2644042.257,951.5,3890.5,4688.999374,537.4959299,578.2128992,4688.999374,0.870455075,-316.2452143,0.974632482
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 17",6388,0,5186,2282.040858,1993.5,1504.623221,2263891.037,966,3590.5,4388.999374,549.0770194,752.1640576,4388.999374,0.794150364,-254.0783306,0.947472271
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 18",6388,0,6086,2916.981371,2893.5,1808.117774,3269289.884,1296.5,4490.5,5288.999374,591.9261115,591.9261115,5288.999374,0.979670873,-211.59756,0.998443538
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 19",6388,0,6386,3193.499843,3193.5,1844.200821,3401076.667,1596.5,4790.5,5588.999374,798,798,5588.999374,0.999999853,0.00031294,1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 20",6388,0,6386,3193.499843,3193.5,1844.200821,3401076.667,1596.5,4790.5,5588.999374,798,798,5588.999374,0.999999853,0.00031294,1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 21",6388,0,6236,3048.290075,3043.5,1836.340092,3372144.935,1446.5,4640.5,5438.999374,667.1609267,667.1609267,5438.999374,0.995644258,-131.2998642,0.999812828
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 22",6388,0,6386,3193.499843,3193.5,1844.200821,3401076.667,1596.5,4790.5,5588.999374,798,798,5588.999374,0.999999853,0.00031294,1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 23",6388,0,6386,3193.499843,3193.5,1844.200821,3401076.667,1596.5,4790.5,5588.999374,798,798,5588.999374,0.999999853,0.00031294,1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 24",6388,0,6386,3193.499843,3193.5,1844.200821,3401076.667,1596.5,4790.5,5588.999374,798,798,5588.999374,0.999999853,0.00031294,1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 25",6388,0,6386,3193.499843,3193.5,1844.200821,3401076.667,1596.5,4790.5,5588.999374,798,798,5588.999374,0.999999853,0.00031294,1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 26",6388,0,6386,3193.499843,3193.5,1844.200821,3401076.667,1596.5,4790.5,5588.999374,798,798,5588.999374,0.999999853,0.00031294,1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 27",6388,0,5936,2788.161709,2743.5,1778.24594,3162158.624,1146.5,4340.5,5138.999374,526.647464,526.647464,5138.999374,0.962214175,-284.6692594,0.995809807
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 28",6388,0,3836,1874.847683,1865,979.0650649,958568.4013,1064,2663.5,3151.040075,619.6775204,798,3038.999374,0.401659335,592.1485957,0.572412582
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 29",6388,0,6386,3193.499843,3193.5,1844.200821,3401076.667,1596.5,4790.5,5588.999374,798,798,5588.999374,0.999999853,0.00031294,1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 30",6388,0,6386,3189.625391,3188.5,1844.985588,3403971.821,1591.5,4785.5,5587.418284,794.0832812,798,5573.501565,0.997607762,3.765002034,0.994375082
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 31",6388,0,6386,3193.499843,3193.5,1844.200821,3401076.667,1596.5,4790.5,5588.999374,798,798,5588.999374,0.999999853,0.00031294,1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 32",6388,0,6386,3193.499843,3193.5,1844.200821,3401076.667,1596.5,4790.5,5588.999374,798,798,5588.999374,0.999999853,0.00031294,1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 33",6388,0,6386,3193.499843,3193.5,1844.200821,3401076.667,1596.5,4790.5,5588.999374,798,798,5588.999374,0.999999853,0.00031294,1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 34",6388,0,5786,2671.646368,2593.5,1734.247399,3007614.041,996.5,4190.5,4988.999374,510.5860989,510.5860989,4988.999374,0.936159783,-317.9798998,0.991047354
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 35",6388,0,6386,3193.499843,3193.5,1844.200821,3401076.667,1596.5,4790.5,5588.999374,798,798,5588.999374,0.999999853,0.00031294,1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 36",6388,0,5486,2453.549937,2293.5,1636.706941,2678809.609,916,3890.5,4688.999374,508.0313087,538.2003757,4688.999374,0.876404513,-345.2478746,0.975178038
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 37",6388,0,6086,2919.047746,2893.5,1805.204734,3258764.131,1296.5,4490.5,5288.999374,600.1916093,600.1916093,5288.999374,0.978047206,-204.3460055,0.998350996
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 38",6388,0,3536,1699.346744,1691,941.1667862,885794.9195,892.5,2489.5,2927.728867,487.658109,798,2738.999374,0.332352324,637.9795985,0.424112237
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 39",6388,0,6386,3193.499843,3193.5,1844.200821,3401076.667,1596.5,4790.5,5588.999374,798,798,5588.999374,0.999999853,0.00031294,1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 40",6388,0,6236,3048.05526,3043.5,1836.714095,3373518.666,1446.5,4640.5,5438.999374,666.2216656,666.2216656,5438.999374,0.99585107,-132.1951319,0.999820923
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 41",6388,0,6386,3193.499843,3193.5,1844.200821,3401076.667,1596.5,4790.5,5588.999374,798,798,5588.999374,0.999999853,0.00031294,1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 42",6388,0,6236,3047.562148,3043.5,1837.5038,3376420.215,1446.5,4640.5,5438.999374,664.2492173,664.2492173,5438.999374,0.996287884,-134.0832099,0.999838269
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 43",6388,0,6386,3193.499843,3193.5,1844.200821,3401076.667,1596.5,4790.5,5588.999374,798,798,5588.999374,0.999999853,0.00031294,1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 44",6388,0,6236,3047.115999,3043.5,1838.221819,3379059.456,1446.5,4640.5,5438.999374,662.4646212,662.4646212,5438.999374,0.996685221,-135.7982545,0.999854379
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 45",6388,0,6386,3193.499843,3193.5,1844.200821,3401076.667,1596.5,4790.5,5588.999374,798,798,5588.999374,0.999999853,0.00031294,1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 46",6388,0,5486,2460.030839,2293.5,1629.768408,2656145.065,939,3890.5,4688.999374,527.3011897,564.1239825,4688.999374,0.872526125,-326.3813398,0.97481373
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 47",6388,0,5936,2788.373043,2743.5,1777.963072,3161152.686,1146.5,4340.5,5138.999374,527.492799,527.492799,5138.999374,0.962055089,-283.9498845,0.995797334
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 48",6388,0,5786,2671.928147,2593.5,1733.899802,3006408.525,996.5,4190.5,4988.999374,511.7132123,511.7132123,4988.999374,0.935964186,-317.0734812,0.991030493
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 49",6388,0,6386,3193.499843,3193.5,1844.200821,3401076.667,1596.5,4790.5,5588.999374,798,798,5588.999374,0.999999853,0.00031294,1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 50",6388,0,6386,3193.429399,3193.5,1844.318923,3401512.289,1596.5,4790.5,5588.999374,797.7182217,797.7182217,5588.999374,1.000062342,-0.269689715,0.999996898
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 1",6545,0,6543,3270.808098,3272,1891.018769,3575951.986,1636,4908,5726.499389,812.7322738,812.7322738,5725.999389,1.000691924,-3.455877136,0.999800884
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 2",6545,0,6543,3271.999847,3272,1889.522823,3570296.5,1636,4908,5726.499389,817.5,817.5,5725.999389,0.99999986,0.000305437,1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 3",6545,0,6543,3271.999847,3272,1889.522823,3570296.5,1636,4908,5726.499389,817.5,817.5,5725.999389,0.99999986,0.000305437,1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 4",6545,0,3843,1670.013598,1596,1014.964685,1030153.312,778,2414,3052.438264,435.1613692,625.1405868,3025.999389,0.433854016,250.4432587,0.652363698
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 5",6545,0,6543,3271.999847,3272,1889.522823,3570296.5,1636,4908,5726.499389,817.5,817.5,5725.999389,0.99999986,0.000305437,1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 6",6545,0,5043,2240.219862,1907,1394.712114,1945221.882,1089,3408,4226.499389,634.9437653,817.5,4225.999389,0.704751547,-65.72720046,0.911606337
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 7",6545,0,6543,3271.999847,3272,1889.522823,3570296.5,1636,4908,5726.499389,817.5,817.5,5725.999389,0.99999986,0.000305437,1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 8",6545,0,6543,3271.999847,3272,1889.522823,3570296.5,1636,4908,5726.499389,817.5,817.5,5725.999389,0.99999986,0.000305437,1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 9",6545,0,3543,1559.914286,1474,921.5945461,849336.5075,731,2292,2816.631418,466.6356968,478.4413203,2725.999389,0.415551404,200.2300902,0.725895531
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 10",6545,0,5943,2780.999083,2672,1743.540737,3039934.3,1112,4308,5126.499389,649.9865526,653.5635697,5125.999389,0.918229487,-223.4477966,0.990245045
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 11",6545,0,5943,2763.764553,2665,1761.073947,3101381.448,1029,4308,5126.499389,594.0067237,594.8838631,5125.999389,0.926719975,-268.463205,0.98865842
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 12",6545,0,6243,2986.713369,2972,1866.253938,3482903.761,1336,4608,5426.499389,576.3630807,576.3630807,5425.999389,0.987173064,-243.3168971,0.998963281
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 13",6545,0,5043,2168.485714,1772,1448.626956,2098520.059,933,3408,4226.499389,515.4162592,817.5,4225.999389,0.73260321,-228.5919897,0.91312223
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 14",6545,0,5149,2232.977693,1877,1484.019312,2202313.319,951,3513,4331.5,538.4987775,815.299511,3954.221747,0.664855458,57.57063396,0.716604906
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 15",6545,0,5943,2777.148816,2672,1747.757618,3054656.691,1091,4308,5126.499389,636.2775061,638.1601467,5125.999389,0.920499361,-234.7250921,0.990350626
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 16",6545,0,6543,3270.074714,3272,1891.388243,3577349.486,1630,4908,5726.499389,812.9413203,817.5,5725.999389,1.000421855,-3.305595542,0.998870936
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 17",6545,0,6543,3271.999847,3272,1889.522823,3570296.5,1636,4908,5726.499389,817.5,817.5,5725.999389,0.99999986,0.000305437,1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 18",6545,0,6243,2997.668296,2972,1850.321622,3423690.105,1336,4608,5426.499389,620.1894866,620.1894866,5425.999389,0.978482165,-203.9253478,0.99842578
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 19",6545,0,6243,2995.788999,2972,1852.968698,3433492.997,1336,4608,5426.499389,612.6711491,612.6711491,5425.999389,0.979920954,-210.5123619,0.998505195
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 20",6545,0,5343,2367.003667,2072,1543.033813,2380953.348,1022,3708,4526.499389,587.4376528,797.695599,4525.999389,0.796044676,-237.6545118,0.950229269
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 21",6545,0,6543,3271.587319,3272,1890.045891,3572273.469,1636,4908,5726.499389,815.8496333,815.8496333,5725.999389,1.000224744,-1.148044246,0.99989615
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 22",6545,0,6543,3271.999847,3272,1889.522823,3570296.5,1636,4908,5726.499389,817.5,817.5,5725.999389,0.99999986,0.000305437,1
