,AgeGap,AgeLimits,Algorithm Name,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents,Problem
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 10",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",16:46.8,5784,1,5,5,461.190447,1330.381387,9.451831718,9.873151464,869.1909405,[[0;0;15.7555095395713][11.913802044333;0;0][0;11.9143564800989;0][5.17464810635319;6.46091750355831;0.163652135948142][...]],1.163606167,10,440752405,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 11",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",16:47.9,5784,0,5,5,514.6326485,1330.381387,9.732281693,10.95215042,815.748739,[[0;14.7406731219583;0][0;0;10.563718871498][14.7406731223724;0;0][3.4054082661263;3.3411709329537;7.99409392824786][...]],1.25374956,10,2084858386,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 8",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",32:27.3,9026,0,10,9,0.056982242,1330.995492,0.708206922,0.038340558,1330.93851,[[0;0;0.500659113369661][0.500659113369661;0;0][0;0.500535183392003;0][0.241598650310092;0.186438205018045;0.142678951776046][...]],0.087649347,5,1692644411,10,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 12",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",16:59.4,5784,0,5,5,34.47343603,1330.381387,3.911282119,3.994521575,1295.907951,[[0;0;5.67960996313498][0;5.67961042928352;0][5.67961042928352;0;0][1.07599549789589;1.66240795067416;2.94120711019389][...]],0.614215024,10,2100690991,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 11",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",17:01.5,5784,1,5,5,2.164516591,1330.64971,1.994628982,1.731569141,1328.485193,[[0;0;2.73379785705315][0;2.73379785705315;0][2.73379785705315;0;0][0.35254584747596;0.273064834208255;2.10795578110475][...]],0.172135804,10,1244233162,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 9",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",38:23.1,9026,1,10,9,0.043827623,1330.99673,1.029835472,0.005116737,1330.952902,[[0;0;0.500000217502905][0.500000217502905;0;0][0;0.500000217502905;0][0.110082536061662;0.110082536061662;0.27983514537958][...]],0.039536247,5,1976673574,10,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 13",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",16:10.4,5784,0,5,5,64.77958765,1330.630345,5.038033429,5.099840971,1265.850757,[[7.1027839056745;0;0][0;0;7.1027607598758][0;7.10273513098319;0][0.922858439258792;5.72846449945603;0.45146407512283][...]],0.575493467,10,635099718,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 12",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",16:11.9,5784,1,5,5,26.09819963,1330.381387,3.928432402,3.888335696,1304.283188,[[0;0;5.5038880125685][0;5.50388802637062;0][5.5038880125685;0;0][0.650829259829157;0.979986607240349;3.89424325605948][...]],0.455531802,10,649687722,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 9",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",30:58.6,9026,0,10,9,0.046975744,1330.99136,0.562222823,0.075856614,1330.944384,[[0;0.500009704036597;0][0.500009692997072;0;0][0;0;0.500009745799101][0.166937518601446;0.371214712511037;0.24966875029852][...]],0.073552421,5,983191486,10,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 14",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",17:07.5,5784,0,5,5,18.02341531,1330.381387,2.693261962,2.687469919,1312.357972,[[3.99353350123964;0;0][0;0;3.99353350123964][0;3.99353350123964;0][0.642140497390676;2.08860912315939;1.26278388068958][...]],0.290134658,10,175231390,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 13",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",17:08.7,5784,1,5,5,9.885062977,1330.381387,3.353840179,3.30823254,1320.496325,[[0;0;4.69698340754602][4.69698340754602;0;0][0;4.69698340754602;0][0.659651932585257;3.19707570606075;0.840255768900007][...]],0.420227552,10,2067765844,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 10",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",31:56.8,9026,1,10,9,0.042872847,1330.995783,0.704759579,0.038036136,1330.95291,[[0.500003468166643;0;0][0;0.500003468166643;0][0;0;0.500003468166643][0.176983846547884;0.123920437307619;0.301519778700191][...]],0.134601865,5,1309409452,10,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 15",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",16:27.9,5784,0,5,5,0.025979472,1330.98438,0.85717241,0.557018803,1330.958401,[[0;1.2185625254964;0][1.2185625254964;0;0][0;0;1.2185625254964][0.123603212447134;0.460431167538553;0.636069894794333][...]],0.171885809,10,444334074,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 14",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",16:26.1,5784,1,5,5,203.6967187,1330.381387,7.63549329,7.859769214,1126.684669,[[0;10.4789811963008;0][10.4789811963027;0;0][0;0;10.4789811958705][1.48677836228953;0.671981467947553;8.32022136563093][...]],0.461848818,10,1813604170,20,DTLZ1
