,AgeGap,AgeLimits,Algorithm Name,BestKnownFront,Crowding,Encoding.ProblemSize,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,ProblemSize,ReferencePoint,Seed,Selector.NumberOfSelectedSubScopes,Spacing,TestFunction,TopLayerPopulationSize,TopLayerSelector.NumberOfSelectedSubScopes
"ALPS with NSGA2 {NumberOfLayers=8, TopLayerPopulationSize=22, AgeGap=150} Run 1",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, TopLayerPopulationSize=22, AgeGap=150}",[[0;0;0.5][0;0.005;0.495][5E-05;0.00495;0.495][0.0001;0.0049;0.495][0.00015;0.00485;0.495][0.0002;0.0048;0.495][...]],31.23618754,20,300037,47:53.2,9055,8,8,0.109115155,1330.997529,41.6468275,64.88645256,1330.888414,[[0;1.08934605620102;0][0;0;1.08923842417045][1.0895789743569;0;0][0.523751642542552;0.260297732743155;0.306637335835906][...]],58.93872938,4,20,[11;11;11],1927022513,8,73.97287972,DTLZ1,22,44
"ALPS with NSGA2 {NumberOfLayers=8, TopLayerPopulationSize=22, AgeGap=150} Run 2",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, TopLayerPopulationSize=22, AgeGap=150}",[[0;0;0.5][0;0.005;0.495][5E-05;0.00495;0.495][0.0001;0.0049;0.495][0.00015;0.00485;0.495][0.0002;0.0048;0.495][...]],45.59218909,20,300037,05:31.2,9055,8,8,0.014775676,1330.999877,47.09893961,59.30826776,1330.985101,[[0;0;0.500505024080333][0;0.500505025758279;0][0.500505026379294;0;0][0.177745737414131;0.31009294466569;0.0126663466671793][...]],33.89837483,4,20,[11;11;11],2046003087,8,24.48330161,DTLZ1,22,44
"ALPS with NSGA2 {NumberOfLayers=8, TopLayerPopulationSize=22, AgeGap=150} Run 3",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, TopLayerPopulationSize=22, AgeGap=150}",[[0;0;0.5][0;0.005;0.495][5E-05;0.00495;0.495][0.0001;0.0049;0.495][0.00015;0.00485;0.495][0.0002;0.0048;0.495][...]],47.09526625,20,300037,48:00.1,9055,8,8,0.015012262,1330.999853,68.83861425,82.97436683,1330.984841,[[0;0;0.502918911991578][0;0.502918911991756;0][0.502918923454764;0;0][0.0989662598315668;0.145277005846353;0.258675646656851][...]],133.3901774,4,20,[11;11;11],977652289,8,113.5786493,DTLZ1,22,44
"ALPS with NSGA2 {NumberOfLayers=8, TopLayerPopulationSize=22, AgeGap=150} Run 4",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, TopLayerPopulationSize=22, AgeGap=150}",[[0;0;0.5][0;0.005;0.495][5E-05;0.00495;0.495][0.0001;0.0049;0.495][0.00015;0.00485;0.495][0.0002;0.0048;0.495][...]],46.5263249,20,300037,44:59.3,9055,8,8,0.01357148,1330.999683,50.67448635,73.80650279,1330.986111,[[0.500005972483663;0;0][0;0.500005969799766;0][0;0;0.50000596947789][0.0708673942511997;0.265387017387961;0.163751560659939][...]],78.28771909,4,20,[11;11;11],1117542495,8,61.67039538,DTLZ1,22,44
"ALPS with NSGA2 {NumberOfLayers=8, TopLayerPopulationSize=22, AgeGap=150} Run 5",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, TopLayerPopulationSize=22, AgeGap=150}",[[0;0;0.5][0;0.005;0.495][5E-05;0.00495;0.495][0.0001;0.0049;0.495][0.00015;0.00485;0.495][0.0002;0.0048;0.495][...]],26.88994184,20,300037,18:55.2,9055,8,8,0.00776497,1330.999648,37.33670946,60.92099489,1330.991883,[[0;0;0.500000697902891][0.500000697903602;0;0][0;0.500000697902891;0][0.114782332803626;0.259791080847801;0.125477319309161][...]],37.60233799,4,20,[11;11;11],2077018336,8,34.40580136,DTLZ1,22,44
"ALPS with NSGA2 {NumberOfLayers=8, TopLayerPopulationSize=22, AgeGap=150} Run 6",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, TopLayerPopulationSize=22, AgeGap=150}",[[0;0;0.5][0;0.005;0.495][5E-05;0.00495;0.495][0.0001;0.0049;0.495][0.00015;0.00485;0.495][0.0002;0.0048;0.495][...]],52.36124988,20,300037,47:50.4,9055,8,8,0.012472834,1330.999837,67.01961472,117.584325,1330.987364,[[0;0;0.503823767508671][0.503823767508671;0;0][0;0.503823767508671;0][0.342956650432312;0.144246461581529;0.0166206554948289][...]],54.48185471,4,20,[11;11;11],1743270333,8,44.62965643,DTLZ1,22,44
"ALPS with NSGA2 {NumberOfLayers=8, TopLayerPopulationSize=22, AgeGap=150} Run 7",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, TopLayerPopulationSize=22, AgeGap=150}",[[0;0;0.5][0;0.005;0.495][5E-05;0.00495;0.495][0.0001;0.0049;0.495][0.00015;0.00485;0.495][0.0002;0.0048;0.495][...]],68.64056287,20,300037,44:30.5,9055,8,8,0.008530499,1330.999777,60.83280055,93.10593343,1330.991246,[[0;0.503784467782175;0][0.503784467782175;0;0][0;0;0.503781350209486][0.20017390224631;0.197731483699875;0.105881917762152][...]],70.49878131,4,20,[11;11;11],1114022921,8,50.8964,DTLZ1,22,44
"ALPS with NSGA2 {NumberOfLayers=8, TopLayerPopulationSize=22, AgeGap=150} Run 8",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, TopLayerPopulationSize=22, AgeGap=150}",[[0;0;0.5][0;0.005;0.495][5E-05;0.00495;0.495][0.0001;0.0049;0.495][0.00015;0.00485;0.495][0.0002;0.0048;0.495][...]],43.14020453,20,300037,47:56.4,9055,8,8,0.049825679,1330.999541,55.05407807,72.30837524,1330.949715,[[0.999785764037952;0;0][0;0.999785763489946;0][0;0;0.999785763532046][0.761808669833361;0.237977094041522;0][...]],38.66781755,4,20,[11;11;11],482153311,8,26.50028121,DTLZ1,22,44
"ALPS with NSGA2 {NumberOfLayers=8, TopLayerPopulationSize=22, AgeGap=150} Run 9",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, TopLayerPopulationSize=22, AgeGap=150}",[[0;0;0.5][0;0.005;0.495][5E-05;0.00495;0.495][0.0001;0.0049;0.495][0.00015;0.00485;0.495][0.0002;0.0048;0.495][...]],30.97243136,20,300037,45:16.1,9055,8,8,0.004585075,1330.999943,36.32541977,56.37622644,1330.995358,[[0;0;0.500000000001599][0;0.500000000001599;0][0.500000000001599;0;0][0.15850624555765;0.0636849748663356;0.277808779577613][...]],23.62885389,4,20,[11;11;11],984378768,8,18.13981517,DTLZ1,22,44
"ALPS with NSGA2 {NumberOfLayers=8, TopLayerPopulationSize=22, AgeGap=150} Run 10",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, TopLayerPopulationSize=22, AgeGap=150}",[[0;0;0.5][0;0.005;0.495][5E-05;0.00495;0.495][0.0001;0.0049;0.495][0.00015;0.00485;0.495][0.0002;0.0048;0.495][...]],40.72190917,20,300037,45:06.8,9055,8,8,0.002566033,1330.999755,50.55172254,118.2472715,1330.997189,[[0;0;0.500000000004974][0.500000000004974;0;0][0;0.500000000004974;0][0.0302059767479186;0.0888143774764212;0.380979645783121][...]],71.32744499,4,20,[11;11;11],443747954,8,65.40952076,DTLZ1,22,44
