,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 1",5866,66.07191066,120.1244257,114.8638657,118.3327616,6.876821557,47.29067472,113.1181226,119.6864861,119.94632,105.0362043,105.0362098,119.9461204,0.003386688,104.9324042,0.695587345
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 1",6260,68.29514589,119.7728924,115.9814235,118.0114489,5.488339761,30.12187333,114.8085184,118.8825277,119.5453163,109.7347413,109.7347588,119.5452436,0.002170599,109.1885348,0.510874124
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 1",6387,66.43252218,119.7337934,116.3004305,118.7814302,7.375694697,54.40087226,117.2832974,119.2745581,119.482122,108.3221509,108.3221524,119.481949,0.002355451,108.7794757,0.346755082
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 1",6544,68.03455956,120.0526839,116.6550815,119.1153597,6.758381539,45.67572102,117.6993963,119.3732878,119.7525172,109.0895173,109.0895414,119.7524967,0.002199358,109.4598821,0.377988082
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 2",5866,65.271234,119.3082082,113.5997552,117.1912017,7.379498301,54.45699517,110.6340461,118.8975273,119.011141,102.8425352,102.8425355,119.0110404,0.00365459,102.8826693,0.703397151
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 2",6260,70.18357318,119.9417836,116.4838445,118.5575676,5.673383093,32.18727572,114.8456701,119.666092,119.8176226,109.6564162,109.6564254,119.8175403,0.002197477,109.6068388,0.490006031
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 2",6387,68.50564685,120.0985369,116.7641965,118.6476503,5.790086406,33.52510058,117.0308847,119.4269801,119.8083983,110.3428646,110.3428853,119.8081396,0.002017535,110.3222059,0.412812482
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 3",5866,68.02738536,119.6494258,114.5517824,117.1590094,7.357828714,54.13764339,114.2757807,119.1390387,119.4510966,104.4178421,104.4178421,119.450879,0.003358483,104.70303,0.597535826
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 3",6260,71.36625962,119.7261571,116.6715725,118.3811124,5.629764502,31.69424835,116.6913512,119.4390953,119.5989843,110.5453199,110.54533,119.5989812,0.001973257,110.4962661,0.401257768
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 3",6387,69.15101632,119.9571261,116.0104967,118.1405704,6.615789316,43.76866827,115.8282237,119.3460782,119.6415092,108.5040665,108.5040684,119.6412857,0.00239615,108.359591,0.446010528
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 2",6544,72.46854117,120.2185489,117.3907533,119.4794086,5.975997724,35.7125488,118.0811759,120.0648264,120.1465849,110.6191176,110.6191186,120.1464056,0.001959548,110.9800927,0.383762528
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 4",5866,70.30862383,119.3272909,114.1501948,117.207335,6.642024955,44.11649551,111.1513847,119.1319303,119.2428207,105.0485771,105.0485771,119.242722,0.003313397,104.4336573,0.713711861
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 4",6260,69.29927411,119.4698763,115.3596308,117.6393908,5.95816197,35.49969406,114.3161483,118.5419615,119.0054089,107.8285892,107.8286083,119.0053234,0.002394784,107.8651537,0.52764878
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 4",6387,68.09540505,119.9684523,116.7798897,119.017481,6.804969263,46.30760667,117.208106,119.737413,119.8590502,109.6504518,109.6504522,119.8589663,0.002188068,109.7933898,0.351519747
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 5",5866,68.3400916,119.4921819,113.1600511,116.0514619,6.691628698,44.77789463,109.756628,117.9905544,118.6298261,104.1313948,104.1313966,118.6293884,0.003397699,103.1962986,0.739406135
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 5",6260,67.33793117,119.3891177,115.3997857,117.903478,5.899308839,34.80184477,113.680598,118.8898276,119.1300517,107.8296417,107.8296422,119.1300338,0.002418318,107.8316591,0.548859759
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 3",6544,77.10151435,119.8465295,116.125233,118.8397623,7.773605527,60.42894288,117.5921326,119.2911885,119.7205822,107.396237,107.3962421,119.7205705,0.002534802,107.8326289,0.379502559
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 5",6387,66.76688346,119.9871008,116.8879496,118.7368703,6.136032729,37.65089765,117.5141505,119.585895,119.8592808,110.5831421,110.5831538,119.8590802,0.001994561,110.519316,0.359252618
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 6",5866,70.2345733,119.7643862,113.3176568,114.6260778,5.683190799,32.29865766,112.4581569,116.7716998,118.0673999,106.0691532,106.0692137,118.0664947,0.002686673,105.4389883,0.640946894
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 6",6260,67.71818261,120.0482229,116.9528911,117.8995466,5.547226076,30.77171714,117.3957011,119.7610521,119.8978581,111.1021839,111.1021981,119.8978298,0.001920554,110.9425165,0.391505829
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 6",6387,66.03361285,120.0960276,116.8880628,118.9172144,6.521435849,42.52912553,116.5339731,119.8888592,119.955864,110.2428128,110.2428219,119.955709,0.002111649,110.1455662,0.356482132
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 7",5866,64.47486392,120.0185373,115.3023625,117.4722188,6.255292434,39.12868343,112.0596411,119.5357997,119.7856295,107.0068585,107.0068585,119.7854339,0.002940682,106.6788122,0.633837349
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 7",6260,66.47521313,120.0934817,116.6625318,119.0570476,6.138776411,37.68457582,115.9482699,119.7421986,119.9661396,109.3226763,109.3227037,119.9661268,0.002261968,109.5837019,0.443451571
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 4",6544,66.01647648,120.0652878,116.8573983,119.5021121,7.201118876,51.85611307,118.1267029,119.9991518,120.0245587,108.6726534,108.6726695,120.0244829,0.002341361,109.1976371,0.377318713
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 7",6387,71.28647513,120.0885699,115.9831852,117.3766365,6.14163094,37.7196306,115.485405,119.0587315,119.7804193,108.9290672,108.9290702,119.779941,0.002309953,108.6075061,0.480971485
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 8",5866,70.77918648,119.7285338,114.7704429,118.1309304,6.744832646,45.49276743,112.588841,119.3564227,119.5222426,105.2889406,105.2889406,119.5220718,0.003247942,105.2458516,0.665045258
