,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 1",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:38.0,5864,3,3,0.2131702,0.407333641,1.281982061,120.1201631,[[0;1.00822591196362][1;0.0165308713541516][0.595824438337086;0.656733622342269][0.710837788847283;0.507280409266402][...]],0.14687244,16,691837101,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 1",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:40.8,6258,3,3,0.563090608,0.404663561,0.63412889,119.7702427,[[1;0.0497358885670514][0;1.02516974660755][0.302127515222073;0.936181708312774][0.133254343688764;1.00786323818823][...]],0.121779921,16,1680081066,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 1",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:41.9,6385,3,3,0.600528301,0.237741623,1.398504984,119.732805,[[1;0.0533057468695036][0;1.02703338997018][0.277737550233705;0.951933162401868][0.659213239962015;0.604075392017536][...]],0.032177325,16,1361935105,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 1",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:47.2,6542,3,3,0.282239131,0.178359964,0.239646422,120.0510942,[[0;1.01175469441503][1;0.0233710252840278][0.126114187575788;0.995849608937244][0.805071502185893;0.371091292806567][...]],0.14452858,16,1009188966,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 2",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:40.0,5864,3,3,1.029660141,0.624949038,0.966731036,119.3036732,[[1;0.0931575551210193][0;1.04753805023904][0.5;0.808998386535924][0.316981787394569;0.951914010898746][...]],0.100570566,16,1946017006,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 2",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:43.8,6258,3,3,0.39274429,0.39125282,1.441031963,119.940589,[[0;1.01708852560092][1;0.0338804104080588][0.60844395622368;0.653158014649855][0.486280334214727;0.784584296117568][...]],0.033785078,16,1930541918,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 2",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:44.6,6385,3,3,0.234796465,0.19978109,1.633299016,120.0985369,[[1;0.0190918837456496][0;1.0097877770065][0.240756117841436;0.95254068916261][0.484457267711501;0.777128905599584][...]],0.030071446,16,1940163048,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 3",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:42.2,5864,3,3,0.688550867,0.533559261,1.095257468,119.6447825,[[1;0.0614174330952214][0;1.03118839514056][0.779438123517443;0.442020695319459][0.674690216824506;0.589753365816239][...]],0.032553184,16,470379811,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 3",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:44.6,6258,3,3,0.612064004,0.578030325,0.858611158,119.7212693,[[1;0.0540964435963137][0;1.02742346374282][0.427568919789577;0.849745093870257][0.594334621033765;0.683867801116332][...]],0.034583861,16,357327478,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 3",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:45.7,6385,3,3,0.38103988,0.525405558,0.273755496,119.9522935,[[1;0.0324609042096163][0;1.01636318711268][0.843719346694187;0.315965151307067][0.492229867793497;0.777975245245615][...]],0.057968809,16,28917209,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 2",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,01:26.4,6542,3,3,0.116599469,0.185581506,0.715591319,120.2167339,[[1;0.00796066883426817][0;1.00398745325862][0.523817346122989;0.730696303213533][0.405930348287095;0.839865932851773][...]],0.049492636,16,437278343,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 4",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:40.8,5864,3,3,1.010442805,0.302948011,1.769322375,119.3228905,[[0;1.04679301859347][1;0.0914976835492119][0.507008849001003;0.801232941896311][0.784332080080206;0.459127811798053][...]],0.044414784,16,1379513212,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 4",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:43.8,6258,3,3,0.865700738,0.326579203,1.322816421,119.4676326,[[1;0.0780917487058543][0;1.03985197893968][0.769119020425185;0.470910405101211][0.31630147434134;0.943622250375041][...]],0.036610962,16,1257921632,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 4",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:45.3,6385,3,3,0.364880985,0.207631338,1.312632902,119.9684523,[[0;1.01586031498123][1;0.0314398301149387][0.206792503810499;0.973862625638667][0.341083609639065;0.901286053379799][...]],0.037848342,16,195468297,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 5",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:40.9,5864,3,3,0.841937062,0.355212841,1.546330858,119.4913963,[[1;0.0757641415149478][0;1.0415118731299][0.676383370620389;0.600835983497191][0.584283868263259;0.713691988471839][...]],0.046469633,16,1435865507,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 5",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:43.8,6258,3,3,0.95124667,0.450149608,1.331231467,119.3820867,[[1;0.0858259956041206][0;1.0438333390743][0.292656876805724;0.961781904087469][0.442264192127604;0.85645089372187][...]],0.047167857,16,529133648,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 3",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,01:26.1,6542,3,3,0.489439715,0.179854327,0.935277477,119.8438936,[[0;1.02163517883645][1;0.0428109404255426][0.82837539987786;0.349965332134716][0.468368606299818;0.806908581115453][...]],0.045672852,16,793320433,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 5",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:45.7,6385,3,3,0.34756752,0.495667895,0.247934934,119.9857658,[[0;1.01494110373444][1;0.0296583609793204][0.622387804670226;0.633281869332697][0.955890531635687;0.114667649470385][...]],0.049571573,16,1352604008,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 6",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:40.7,5864,3,3,0.576048962,0.68926764,0.598974605,119.7572844,[[1;0.050496846043976][0;1.02531256401289][0.572622410247699;0.705843608073465][0.801526025691979;0.399175177394972][...]],0.234465163,16,1850840478,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 6",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:43.6,6258,3,3,0.289600183,0.41524937,1.711992035,120.0437332,[[0;1.01205177103429][1;0.023960030351409][0.728360334016047;0.487860871077851][0.617966802687308;0.634718641660438][...]],0.02869684,16,1850855555,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 6",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:44.9,6385,3,3,0.239680172,0.177487698,1.091028811,120.0936532,[[1;0.0192929017483232][0;1.00959968367399][0.595737683893892;0.657920425482899][0.701876516625377;0.521863182057762][...]],0.028423205,16,493467629,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 7",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:40.6,5864,3,3,0.319508857,0.460774499,1.21051863,120.0138245,[[1;0.0266942055808374][0;1.01343590052802][0.31068479181352;0.918190232894505][0.454982286249933;0.809172442233937][...]],0.100801504,16,1903082751,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 7",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:43.9,6258,3,3,0.246531598,0.546197325,0.834123977,120.0868017,[[1;0.0196652945356938][0;1.0098810578478][0.166938116060311;0.982315512204175][0.689996875946045;0.53844523467652][...]],0.06746241,16,14504260,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 4",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,01:26.0,6542,3,3,0.269353551,0.192670705,0.392769458,120.0639798,[[1;0.0222914585013663][0;1.008866545339][0.227344720495457;0.960098330405754][0.380091975850894;0.867064748877626][...]],0.119113823,16,1902503655,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 7",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:45.0,6385,3,3,0.248482513,0.358120715,0.887211475,120.0848508,[[1;0.0201710207935518][0;1.01014626488799][0.832507469514421;0.324036464853804][0.922017034125183;0.168557288790175][...]],0.030963233,16,1909196433,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 8",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:41.2,5864,3,3,0.607593513,0.486482272,1.140373404,119.7257398,[[0;1.02734249352093][1;0.0539069218456781][0.23692736346938;0.972701981325168][0.915883429801536;0.210826801631592][...]],0.054049506,16,1823696963,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 8",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:44.4,6258,3,3,0.196405393,0.621417023,0.667856522,120.1369279,[[0;1.00767511190038][1;0.0152536362710249][0.549121552666607;0.708553296441107][0.890414317354564;0.220937708073654][...]],0.28677592,16,2035537901,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 8",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:45.3,6385,3,3,0.376392439,0.164018263,1.111283801,119.9569409,[[1;0.03223428859157][0;1.01624619289318][0.398980302422843;0.859606135179627][0.224905560548147;0.966474378419323][...]],0.029652564,16,29943800,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 9",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:40.9,5864,3,3,0.876293907,0.614986033,0.552429848,119.4570394,[[1;0.079021090125672][0;1.03926566657318][0.213154057114062;0.996140383860311][0.903744608891352;0.255169619976947][...]],0.111784208,16,87485407,32
