,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents,Problem
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 1",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:36.7,5864,3,3,0.381805308,0.316300418,1.66793892,120.2848614,[[1;0.0304516336243873][0;1.05998414366506][0.241533988892818;0.554039079041654][0.111066712755552;0.716914162338046][...]],0.05989775,16,664619198,32,ZDT1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 1",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:39.2,6258,3,3,0.120452549,0.258362884,1.18557918,120.5462141,[[0;1.01494239508306][1;0.00749890152309386][0.537749649845262;0.27616983343374][0.179512667060667;0.588109345025217][...]],0.089553073,16,1568938830,32,ZDT1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 1",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:39.5,6385,3,3,0.290751822,0.168940547,0.780959209,120.3759148,[[1;0.0224789808334785][0;1.04434875786407][0.189829776976418;0.599179941406893][0.0888341873230475;0.739872907507962][...]],0.029106338,16,1899624207,32,ZDT1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 1",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:46.0,6542,3,3,0.261731657,0.163520514,0.567810023,120.404935,[[1;0.0196034972978516][0;1.03879330486038][0.560717966826103;0.27559942183874][0.754232620094515;0.153755691086251][...]],0.042396166,16,534708010,32,ZDT1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 2",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:36.2,5864,3,3,0.467387737,0.307062371,1.578628342,120.1992789,[[1;0.0378865074687538][0;1.07443657694121][0.30737745092807;0.4997603886582][0.462197352022736;0.369739685473716][...]],0.03928356,16,1547990158,32,ZDT1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 2",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:38.5,6258,3,3,0.681695404,0.271492307,1.541810783,119.9849713,[[0;1.11053937822772][1;0.0567080236277445][0.241041302803649;0.593149554291257][0.384567824128734;0.457029157132293][...]],0.04442969,16,1926819888,32,ZDT1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 2",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:39.1,6385,3,3,0.10340462,0.181652384,0.877815593,120.563262,[[0;1.01010092448793][1;0.00511675357767824][0.496732486239278;0.301778950790149][0.72690377441963;0.153298411578765][...]],0.046855739,16,1676360614,32,ZDT1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 2",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:46.7,6542,3,3,0.115168744,0.158692159,0.471510533,120.5514979,[[1;0.0070099548227896][0;1.01012463310456][0.261915118924196;0.498335626248352][0.849018027604545;0.0852156402342184][...]],0.046225234,16,421228094,32,ZDT1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 3",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:36.4,5864,3,3,0.47075984,0.267029114,1.621780774,120.1959068,[[0;1.07443869862826][1;0.0378839286225417][0.691872025238302;0.212287232654058][0.856622356631086;0.115067724667392][...]],0.044868651,16,683872777,32,ZDT1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 3",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:38.8,6258,3,3,0.165049394,0.237241464,1.315474198,120.5016173,[[1;0.0102867129612681][0;1.01960184945454][0.461189053608948;0.335663354728341][0.00857034540048601;0.930357832847409][...]],0.116958779,16,2086690869,32,ZDT1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 3",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:39.3,6385,3,3,0.296943221,0.199110886,0.983377255,120.3697234,[[0;1.04494506951253][1;0.0227254148530654][0.787153104546957;0.139246696635252][0.658193597026823;0.216526289352889][...]],0.043353584,16,1547271998,32,ZDT1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 3",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:46.9,6542,3,3,0.102532565,0.157523907,0.523814654,120.5641341,[[1;0.00571808871242678][0;1.01140643156925][0.0793622257620726;0.728091402504917][0.0194390336604978;0.871190662098078][...]],0.040363173,16,660756551,32,ZDT1
